Term,Meaning_of_term,Dialect type,Fill_in_Blank_question,correct_answer
مين شايفك ياللي في الضلام تغمز,مثل يقال عند رؤية شخص يفعل فعلا على غير فائدة,Western,"المهمة: أكمل الجملة باستخدام المثل.
السؤال: المثل الذي يعني عدم فائدة الفعل هو __________.
الخيارات:
أ) مين شايفك ياللي في الضلام تغمز
ب) القرد في عين أمه غزال
ج) عصفور في اليد خير من عشرة على الشجرة
د) عصفور واحد لا يجعل من الربيع",أ
نظرةٌ إلى ميسرة,يقال عند تأجيل الامور الى وقت غير معلوم .يعني لمن ربنا يحلها,Central,"المهمة: املأ الفراغ بالمصطلح الصحيح.
السؤال: عندما نتحدث عن 'نظرةٌ إلى ميسرة'، فإننا نعني _____ الأمور إلى وقت غير معلوم.
الخيارات:
أ) تأجيل
ب) تقديم
ج) تقييم
د) تنفيذ",أ
ننقر نقر الغراب، ومالنا كون التراب,يعني صلاتنا سريعة ولا لنا منها غير التراب لان الصلاة غير مقبولة وبدون خشوع,General,"المهمة: أكمل الجملة التالية.
السؤال: عبارة 'ننقر نقر الغراب، ومالنا كون ______ ' تدل على عدم الخشوع في الصلاة.
الخيارات:
أ) السماء
ب) التراب
ج) الماء
د) الفرح",ب
ولد حاره يفهم بالإشاره,بالفصحى =ابن حي شعبي يفهم بالاشاره بمعنى انه ابناء الاحياء الشعبيه بمجرد الاشاره للشيء يفهمه,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يُستخدم مصطلح 'ولد حاره يفهم بالإشاره' للإشارة إلى ________.
الخيارات:
أ) شخص عادي
ب) ابن حي شعبي
ج) غير معروف
د) شخصية بارزة",ب
يا اطخو يا اكسر مخو,مثل يقولو لما الواحد ما يكون عندو حل وسط يعني يخربها يخربها,Western,"المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.
السؤال: حاولنا إقناع سالم بأن يقلل من إنفاقه، لكنه قرر ألا يصرف أي ريال نهائيًا، فقلنا له: ""يا ____ يا اكسر مخو!""
الخيارات:
A) فكر
B) اطخو
C) قرر
D) تراجع",B
يا حبا يا دبا,يطلق هذا المثل ع الي ماعنده حل وسط في حياته,Central,"المهمة: استكمل الجملة التالية بالمصطلح المناسب.
السؤال: المثل 'يا حبا يا دبا' يعكس شخصية من ____ في حياته.
الخيارات:
أ) لديه حل وسط
ب) لا يتقبل الخيارات
ج) يشجع الآخرين
د) مثالي",ب
يا شين السرج على البقر,يا شين السرج على البقر : يطلق على من تلبّس بلباس هو ليس بكفء له، فالسرج للخيل زينة وأبهة، أما على البقر فقبيح لا حاجة له.,General,"همة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: يُقال المثل ""يا شين السرج على البقر"" عند رؤية شخص _________.
A) يرتدي ملابس فاخرة لكنه لا يبدو مناسبًا لها
B) يقود سيارة فاخرة ببراعة
C) يجيد الفروسية ويتقن ركوب الخيل
D) يمتلك مزرعة مواشٍ ويعتني بها) يرتدي ملابس فاخرة لكنه لا يبدو مناسبًا لها",A
يا غزال بالقماري وين غزالك بالنهاري,يقال حين يفعل المرء شيئاً في غير وقته,Central,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: يُستخدم المثل 'يا غزال بالقماري وين غزالك بالنهاري' عندما ___ .
الخيارات:
أ) يحتاج شخص لشيء
ب) يفعل المرء شيئاً في غير وقته
ج) يسأل عن مفقود
د) يحتفل بمناسبة",ب
يا قلبي يا كتكت ياما تشوف و تسكت.,أن ترى أشياء كثيرة و تحفظها كسر أو تتغاضى عنها.,Western,"المهمة: ملء الفراغ بما يناسب المعنى.
السؤال: اكمل الجملة: 'يا قلبي يا كتكت ياما تشوف و ______.'
الخيارات:
أ) تسكت
ب) تتحدث
ج) تفرح
د) تتألم",أ
يا ما حبى يا ما برك,يعني اما ابيض والا اسود. مافيه حل وسط حبى تعني الحبو ، حبو الطفل برك تعني كما تبرك الناقة عند جلوسها,Central,"المهمة: املأ الفراغ في الجملة التالية.
السؤال: عبارة 'يا ما حبى يا ما برك' تعني إما _______ أو _______.
الخيارات:
أ) غني، فقير
ب) غني، متوسط
ج) أبيض، أسود
د) قوي، ضعيف",ج
يا من شراله من حلاله علّة,مثل شعبي يقال لمن يشتري شيء بماله ويسبب له هذا الشيء المتاعب.,General,"المهمة: أكمل الفراغ بما يناسب المعنى.
السؤال: مثل 'يا من شراله من حلاله علّة' يُستخدم عندما ...
الخيارات:
أ) يشتري شخص شيئًا ويعاني من مشاكل
ب) يوفر شخص المال لينفقه
ج) يؤجل شخص شراء شيء جديد
د) يتفاخر شخص بشرائه",أ
ياطخو يا اكسر مخو,يطلق هذا المثل على الشي الي يعني مافي حل وسط,Western,"المهمة: أكمل العبارة بالمصطلح المناسب.
السؤال: المثل 'ياطخو يا اكسر مخو' يعني أنه لا يوجد ______.
الخيارات:
أ) حل وسط
ب) خيار ثالث
ج) صعوبة
د) تعقيد",أ
يعرج العبد من برطمه,حينما يبحث الشخص عن حجة لا تناسب الموضوع,Central,"المهمة: أكمل الجملة بالمصطلح المناسب.
السؤال: عندما يتعلق الأمر بالمثل 'يعرج العبد من برطمه'، فإن المعنى يمكن أن يكون __________.
الخيارات:
A) التهرب من المسؤولية
B) التعاون والمساعدة
C) الصبر والتحمل
D) النجاح رغم الصعوبات) التهرب من المسؤولية",A
اللقمة في الفاقة أحسن من الناقة,الشيء القليل في وقته المناسب أفضل من الكثير في غير وقته.,General,"المهمة: قم بملء الفراغ بالمثل المناسب.
السؤال: قال له: لا تزعل من القليل، ___ .
الخيارات:
أ) الصبر مفتاح الفرج
ب) اللقمة في الفاقة أحسن من الناقة
ج) الوقت كالسيف
د) من جد وجد",ب
