Term,Meaning_of_term,Dialect type,Contextual_Usage_question,correct_answer
خزاوة,نذالة,Southern,"المهمة: حدد استخدام كلمة 'خزاوة' في السياق الصحيح.
السؤال: ما هو الاستخدام الأنسب لكلمة 'خزاوة'؟
الخيارات:
أ) 'الراجل دا عليه حركات خزاوة'
ب) 'هذه طريق شجاعة'
ج) 'التصرف الجيد هو ولاء'
د) 'الحب يحتاج إلى كرم'",أ
خَسْر,دافئ,Central,"المهمة: اختر الجملة الصحيحة التي تحتوي على كلمة 'خَسْر'.
السؤال: أي من الجمل التالية تستخدم كلمة 'خَسْر' بشكل صحيح؟
الخيارات:
أ) اليوم في المدينة كان الجو خَسْر
ب) جرب هذا الطعام فهو خَسْر
ج) الشمس اليوم خَسْر
د) ياغليّم عطني ماء خَسْر",د
خشاب,تذكر هذه الكلمة في العادة عند الاعجاب والانبهار بالشئ او عند ذكر شئ لا يمكن وصفه فيقال له خشااب . منتشرة كثيرا عند أهل الطائف واهل مكة,Western,"المهمة: اختر الجملة التي تستخدم كلمة 'خشاب' بشكل صحيح.
السؤال: أي من الجمل التالية تعبر عن الاستخدام الصحيح لكلمة 'خشاب'؟
الخيارات:
أ) الجو أمس كان خشاب
ب) الخشب في البناء ضروري
ج) السيارة كانت خشاب بالمعنى اللغوي
د) لي صديق خشاب",أ
خشة,تعني الوجه,Southern,"المهمة: اختر الجملة التي تستخدم فيها 'خشة' بشكل صحيح.
السؤال: أي من الجمل التالية تعبر عن استخدام صحيح لكلمة 'خشة'؟
الخيارات:
أ) أنا أحب طعامك، لكن خشتك كبيرة.
ب) خشتك مهمة عند السلام.
ج) الفيلم كان جيد، لكن خشة الممثلين ما عجبتني.
د) خشتك تعبني وأنت تتحدث.",ب
خشر,حلويات توزع على الأطفال ليلة العيد أو ليله العيد التي يوزع فيها الحلوى للأطفال,Central,"المهمة: اختر الاستخدام الصحيح لكلمة 'خشر' في الجملة.
السؤال: في ليل العيد، أحيانًا نحن نشوف الأطفال يجتمعون من أجل ________.
الخيارات:
أ) الخشر
ب) المسابقات
ج) العزائم
د) اللعب",أ
خشعني,فديتك باللهجه الجنوبيه قبيله بني عمر,General,"المهمة: استخدم الكلمة 'خشعني' في سياق مناسب.
السؤال: أي من الخيارات التالية يستخدم كلمة 'خشعني' بشكل صحيح؟
الخيارات:
أ) خشعني عنك وكأني فقدتك.
ب) أشتري الكتب خشعني.
ج) ذهبت إلى السوق خشعني.
د) كنت في البيت خشعني.",أ
خشم,انف,General,"المهمة: اختر الجملة التي تستخدم فيها كلمة 'خشم' بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم 'خشم' بشكل صحيح؟
الخيارات:
أ) أنا أحب خشم التفاحة.
ب) خشم الولد كان يسبب له مشاكل.
ج) رأيت خشم الطاولة.
د) أريد أن أشتري خشم جديد.",ب
خشّه,كلمة (خشّه) يقصد بها الفم . فإذا قال لك أحدهم افتح خشتك فيعني افتح فمك . وبعض الناس في نجد كلمة (خشه) عندهم تعني الوجه .,Western,"المهمة: استكشاف كيفية استخدام الكلمة في جملة.
السؤال: في أي سياق يمكن أن تُستخدم كلمة 'خشّه'؟
الخيارات:
أ) عندما تتحدث مع الناس
ب) عند قراءة الكتاب
ج) في أوقات الطعام
د) عند اللعب",أ
نكبه,تعني جلبت لنا مصيبة,General,"المهمة: اختر الاستخدام الصحيح لكلمة 'نكبة'.
السؤال: في أي موقف يمكن أن تُستخدم كلمة نكبة؟
الخيارات:
أ) عندما يتسبب شخص في مشكلة أو خطأ كبير
ب) عند وصف شخص مجتهد في عمله
ج) عند التهاني أو الفرح
د) عند وصف موقف مضحك فقط",أ
 يلاغيه,وهي كلمة تدل على التوبيخ والتأنيب,Central,"المهمة: اختر الاستخدام الصحيح لكلمة 'يلاغيه'.
السؤال: في أي موقف يمكن أن تُستخدم كلمة يلاغيه؟
الخيارات:
أ) عندما يغضب أحد الوالدين من تصرف ابنه
ب) عند المزاح بين الأصدقاء
ج) عند تقديم التهنئة
د) أثناء وصف منظر جميل",أ
خضاب,معناها الحناء,General,"المهمة: اختيار الجملة المناسبة لاستخدام كلمة 'خضاب'.
السؤال: أي الجمل التالية تحتوي على كلمة 'خضاب' بشكل صحيح؟
الخيارات:
أ) أشترت أمي خضاب للشعر.
ب) أحببت أكل الخضاب.
ج) خضاب الحياة مهم.
د) شاهدت عرض خضابي.",أ
قرنقش,تعني المال .,General,"المهمة: اختر الجملة التي تحتوي على الكلمة 'قرنقش' بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم كلمة 'قرنقش' بشكل صحيح؟
الخيارات:
أ) أنا رايح أشتري قرنقش يحلي الشاي.
ب) تخليت عن قرنقش بعدما لعبت كرة.
ج) أبي قرنقش عشان أشحن السيارة.
د) مانعرفش وين حطينا قرنقش.",ج
خفسه,الواحدة من الخفس. والخفس هو الشي المدمر الضامر وتستخدم كلمة الخفسة على الوربة : الحفرة في الخصر,General,"المهمة: اختر الاستخدام الصحيح لكلمة 'خفسه' في سياق الجملة.
السؤال: أي من الجمل التالية تستخدم كلمة 'خفسه' بشكل صحيح؟
الخيارات:
أ) ذهبت إلى السوق
ب) كان لديه خفسة في خصره
ج) أحب أكل الفاكهة
د) الشمس مشرقة اليوم",ب
خقق,تعني هذة الكلمة ان الشخص او الشي جميل جدا او اثار الانتباة,Central,"المهمة: اختر السياق المناسب لاستخدام كلمة 'خقق'.
السؤال: في أي سياق يمكن استخدام كلمة 'خقق'؟
الخيارات:
أ) عند وصف شيء قبيح.
ب) عند الإشارة إلى شيء جميل جداً.
ج) عند وصف حالة الطقس.
د) عند الحديث عن الأخبار.",ب
خقه,تعني الشيء الروعه الجميل ال واو يعني قممة في الجممال,General,"المهمة: اختر الاستخدام المناسب لكلمة 'خقه' في السياق.
السؤال: أي من الجمل التالية تستخدم كلمة 'خقه' بشكل صحيح؟
الخيارات:
أ) الجو اليوم خقه
ب) الكتاب كان خقه في السوق
ج) الموز طعمه خقه
د) الصندوق مملوء بالخقه",أ
خلعتني,اخفتني,Southern,"المهمة: حدد معنى الكلمة في السياق الصحيح.
السؤال: في الجملة 'بسم الله خلعتني'، ماذا تعني كلمة 'خلعتني'؟
الخيارات:
أ) أخافتني
ب) أبهجتني
ج) ساعدتني
د) غسلتني",أ
خلفعه,ان يصاب الشخص بتوهان وضياع السيطرة لوقت قصير قد يكون ساعات او يوم كحد اعلى.,Central,"المهمة: اختر الاستخدام الصحيح للكلمة داخل سياق الجملة.
السؤال: أي من الجمل التالية تستخدم كلمة 'خلفعه' بشكل صحيح؟
الخيارات:
أ) أنا خلفع في الاجتماع، لا أعرف كيف أر يجب أن أتصرف.
ب) تبقى الخلفعة مستمرة طوال اليوم.
ج) كنت أشرب القهوة خلفعة.
د) الخلفعة تساعد في تحسين الذاكرة.",أ
خلها ترعد وتبرق,بيت شعر قاله الشاعر محمد القريبي يقصد بهذي الجملة : دع الموضوع يكبر لان الحقوق الصغيرة الضائعة قد ضيعتها الحقوق الكبيرة التي ضاعت من بعدها. اي ان الناس لن يعدلون في امرك ، فاضرب بقوة ولا تهتم خلها ترعد وتبرق ويجدر الذكر ان كثيرا من الناس حتى في المواقف التي يكون فيها اشخاص يعدلون في حقه يستخدم هذه العباره كاستجداء لما يسمى ب انحياز التصعيد غير العقلاني :- وهو ميل الانسان لبناء قراراته بالاعتماد على ما خسره في الماضي القريب، إذ تقوده الخسارة الى مزيد من التهور غير المبرر، وذلك كإرضاء وتبرير لنفسه تجاه ما خسر.,Southern,"المهمة: اختيار الجملة المناسبة في السياق.
السؤال: أي الجمل التالية تعبر عن نفس المعنى لجملة 'خلها ترعد وتبرق'?
الخيارات:
أ) اترك الأمور تذهب بعيدًا
ب) لا تتراجع في مواجهتك
ج) استمع لنصائح الآخرين
د) قم بإعطاء فرصة ثانية",ب
خلّي يُولّي,اي دعهُ يذهب بعيدا لانه لايهمني باي حال احمد : ترى فلان مسكوه الشرطه خالد : ياشيخ خله يولي,General,"المهمة: حدد استخدام التعبير 'خلّي يُولّي' في محادثة.
السؤال: في أي موقف يمكن استخدام تعبير 'خلّي يُولّي'؟
الخيارات:
أ) عندما ترغب في التخلص من شخص مزعج
ب) عندما تطلب منه المساعدة
ج) عندما ترغب في معرفة المزيد عن شخص
د) عندما تهتم بشخص",أ
خليل,هو الشخص الذي يشعر كشعورك ويعتني بشؤونك,Southern,"المهمة: اختيار الجملة الصحيحة التي تستخدم فيها الكلمة 'خليل'.
السؤال: أي من الجمل التالية تعبر بشكل صحيح عن استخدام كلمة 'خليل'؟
الخيارات:
أ) خليل صديقي دائماً يجلس معي في المدرسة.
ب) خليل يأكل الطعام بسرعة.
ج) خليل كان بعيداً عن الحدث.
د) خليل لا يحب المساعدة.",أ
خمير,الخمير هو خبز من الذرة الرفيعة . يطبخ في فخار يسمى الميفا . باللهجة الجيزانية,Southern,"المهمة: اختر الاستخدام الصحيح لكلمة 'خمير' في جملة.
السؤال: ما هو الاستخدام الصحيح لكلمة 'خمير'؟
الخيارات:
أ) أريد أن أشتري خمير من السوق.
ب) أحب شرب خمير مع القهوة.
ج) أحتاج خمير لصنع الحلوى.
د) أعطني امخمير.",د
خن,حرف جر عامي مستحدث يستخدم قبل الأفعال ويعني : هيا بنا !,Central,"المهمة: اختر الخيار الذي يتناسب مع استخدام 'خن'.
السؤال: في أي من الجمل التالية تم استخدام 'خن' بشكل صحيح؟
الخيارات:
أ) خن نسافر للمدينة
ب) خن قمت بواجبي
ج) خن بيتنا بعيد
د) خن هي جميلة",أ
خنبقة,كلمة تقال عند وصف الحالة الغير منظمة ولا مرتبة,Central,"المهمة: اختيار الجملة الأكثر دقة في استخدام كلمة 'خنبقة'.
السؤال: أين يمكن استخدام كلمة 'خنبقة' بشكل صحيح؟
الخيارات:
أ) الطاولة مرتبة جداً.
ب) وش هالشغل، كله خنبقة.
ج) الألوان جميلة جداً.
د) هذا تصميم عصري.",ب
خنزره,خنزره هي كلمة اصلها من الجنوب وتعني بالجنوبي انك تخلع بواحد,Southern,"المهمة: حدد الجملة التي تستخدم فيها كلمة 'خنزره' بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على استخدام صحيح لكلمة 'خنزره'؟
الخيارات:
أ) أنا أحب العسل.
ب) لازم خنزره قبل أن أخرج.
ج) السماء زرقاء.
د) ذهبت إلى السوق.",ب
خنزير,البلون او النفيخة,Central,"المهمة: اختر الجملة الصحيحة التي تحتوي على كلمة 'خنزير' بالمعنى الصحيح.
السؤال: أي من الجمل التالية تستخدم كلمة 'خنزير' بشكل صحيح؟
الخيارات:
أ) تربية الخنازير تحتاج لمنزل كبير.
ب) خل أخوك ينفخ لك الخنزير لا ينقطع نفسك.
ج) الخنزير يسبح في البحر.
د) أكلت خنزير في مطعم.
الإجابة_الصحيحة
الإجابة الصحيحة:",
خنفشاري,بمعنى . شي رآآئع . خطير . لا مثيل له . ( بالعاآمي . شي وااو ),Western,"المهمة: اختر الجملة الصحيح التي تستخدم فيها الكلمة بشكل صحيح.
السؤال: أي من الجمل التالية يستخدم كلمة 'خنفشاري' بشكل صحيح؟
الخيارات:
أ) أنا أحب الخنفشاري. كلمتك ليست صحيحة.
ب) الفيلم كان خنفشاري بالفعل.
ج) هذا الكتاب خنفشاري لكنه ليس ممتعاً.
د) رأيت خنفشاري في السماء.",ب
خنقبة,خنبقة : تعني في الأصل مناقضة الكلام ، ويعتبره البعض الإستهتار أو الغباء,Southern,"المهمة: اختر الجملة التي تستخدم كلمة 'خنبقة' بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم كلمة 'خنبقة' في السياق الصحيح؟
الخيارات:
أ) محمد يحب الخنبقة في نقاشاته.
ب) سأذهب للحديقة غداً.
ج) الخنبقة تزيد في أوقات الجد.
د) الرياض جميلة في الشتاء.",أ
خورمة,عبارة عن حجر كبير نسبيا وزنه حوالي مائة كيلوغرام تجره الثيران لحصاد القمح والشعير وهي في بلاد زهران خاصة المملكة العربية السعودية,Southern,"المهمة: اختر الأصح في استخدام كلمة 'خورمة'.
السؤال: في أي جملة تُستخدم كلمة 'خورمة' بشكل صحيح؟
الخيارات:
أ) احضر الخورمة لنزرع الأشجار.
ب) تستخدم الخورمة لجمع القمح.
ج) جئت بالخوار لطهي الطعام.
د) قدمت الخورمة كهدية.",ب
خوشخيخه,هي لعبة للأطفال يحركونها وتطلع اصوات خشخشه .,Central,"المهمة: اختر السياق المناسب لاستخدام كلمة 'خوشخيخه'.
السؤال: في أي حالة يمكن استخدام كلمة 'خوشخيخه'؟
الخيارات:
أ) أثناء حفلة تخرج
ب) عند اللعب مع الأطفال
ج) في جلسة عمل
د) خلال دراسة تاريخ
الإجابة_الصحيحة
الإجابة الصحيحة:",
خوي,الخوي وهو الصديق,Central,"المهمة: حدد الاستخدام الصحيح لكلمة 'خوي' في الجملة.
السؤال: عندما تقول: 'ذهبت مع ______ إلى الملعب.'، ماذا تعني كلمة 'خوي' هنا؟
الخيارات:
أ) رفيق
ب) عدو
ج) شخص غريب
د) أحد أفراد العائلة",أ
خويي,"صاحبي, صديقي, زميلي تستخدم أيضا للدلالة على شخص معروف عند المتحدثين (خوينا, خويك)",General,"المهمة: اختر الجملة الصحيحة التي تحتوي على الكلمة 'خويي'.
السؤال: أي من العبارات التالية صحيحة؟
الخيارات:
أ) خويي في المدرسة كان زعلان.
ب) خويي هو طعام شهي.
ج) خويي يبني منزلاً.
د) خويي أغنية قديمة.",أ
لصقه,ذوان وبمعنى الأن ، < ومشتهرة بالحجاز وبالاخص قبيلة جهينة !,Central,"المهمة: اختر الجملة التي تستخدم المصطلح 'لصقه' بشكل صحيح.
السؤال: أي من الجمل التالية يستخدم فيها 'لصقه' بشكل صحيح؟
الخيارات:
أ) أنا لصقت الصورة على الجدار.
ب) هو فصل الكتاب في المكتبة.
ج) هي تجمعت مع أصدقائها.
د) نحن قطعنا المنتج.",أ
داجّ,صفة تطلق على الشخص الذي نفذت نقوده و أصبح لا يملك شيئاً وغالباً ما تضاف كلمة (( هاج )) بعدها للدلالة على سوء الحالة الاقتصادية التي يمر بها الشخص. وقد تطلق على من لم يفلح في دراسته.,Central,"المهمة: اختيار السياق الصحيح الذي يتم فيه استخدام كلمة 'داجّ'.
السؤال: في أي سياق يمكن استخدام كلمة 'داجّ'؟
الخيارات:
أ) عند الإشارة إلى شخص سعيد
ب) عند الحديث عن شخص قام بخسارة مادية كبيرة
ج) عند تقديم الثناء على التفوق الدراسي
د) عند الإشارة إلى شخص يقوم بالعمل الجاد",ب
دار المحل,مخزن باللهجة الحايلية,Northern,"المهمة: اختر الاستخدام الصحيح لكلمة 'دار المحل' في جملة.
السؤال: استخدم كلمة 'دار المحل' في جملة صحيحة.
الخيارات:
أ) أريد أن أذهب إلى دار المحل لأشتري الطعام.
ب) ذهبت إلى دار المحل للسباحة.
ج) الأخير في دار المحل كان طيباً جداً.
د) اللحن في دار المحل كان مؤثراً.",أ
داغور,الداغور هو التيس الصغير المكثر للحليب ويشترى عادة لمثل هذا الغرض إن كان ثدي أحدى الماعز ممتلئ فيؤتى به ليشربه,Southern,"المهمة: اختر الجملة التي تحتوي على الكلمة 'داغور' بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم كلمة 'داغور' بشكل صحيح؟
الخيارات:
أ) أمسكت القرية الداغور في السوق
ب) قررت العائلة السفر إلى الداغور
ج) أمس كان الجو لطيفًا جدًا
د) أمسكت العنز خل الداغور يرضع",د
داية,سيدة تساعد الحوامل وقت الانجاب قديماً، مثل الطبيب حالياً.,Southern,"المهمة: اختر السياق الصحيح لاستخدام كلمة 'داية'.
السؤال: في أي جملة تُستخدم كلمة 'داية' بشكل صحيح؟
الخيارات:
أ) ذهبت الداية لمشاهدة مباراة كرة القدم.
ب) كانت الداية تعرف الكثير عن رعاية الحوامل.
ج) أحضرت الداية طعاماً للضيوف.
د) ذهبت الداية لزيارة صديقاتها.",ب
دبج,اي ضرب,Southern,"المهمة: اختر الجملة التي تستخدم فيها كلمة 'دبج' بشكل صحيح.
السؤال: أي من الجمل التالية تعبر عن استخدام الكلمة 'دبج' بشكل صحيح؟
الخيارات:
أ) العب في الحديقة.
ب) أمي دبجتني.
ج) أتناول الطعام.
د) أنا أقرأ الكتاب.",ب
دبشه,الشخص الغبي الذي يكاد ان لايفقه قولاً,Southern,"المهمة: اختر العبارة التي تتضمن استخداماً صحيحاً لكلمة 'دبشه'.
السؤال: أي من العبارات التالية تستخدم كلمة 'دبشه' بشكل صحيح؟
الخيارات:
أ) لقد نجح في الاختبار بحكمته.
ب) كلما تحدث، زاد تأكيد أن أخيه دبشه.
ج) هو فتى ذكي جداً.
د) والدتي تحب القراءة.",ب
دبنجان,كان اهل الحجاز قديما يقولون للطماطم دبنجان,Western,"المهمة: اختر الجملة المناسبة التي تحتوي على الكلمة 'دبنجان'.
السؤال: في أي جملة تم استخدام كلمة 'دبنجان' بشكل صحيح؟
الخيارات:
أ) أبغى دبنجان لسلطتي.
ب) رحت السوق أشتري كعك.
ج) عندي دبنجان للطبخ.
د) شريت فراولة.",أ
دبوس,الدبوس هو شخص يقوم باللسلسة بشكل واعي او غير واعي فهو يلصق بك التهم والدلائل واحيانا يوثقها عليك.,General,"المهمة: اختر الجملة التي تُظهر استخدام الكلمة 'دبوس' بشكل صحيح.
السؤال: أي من الجمل التالية تعبر عن استخدام الكلمة 'دبوس'؟
الخيارات:
أ) جاء دبوس وسجل موقفاً محرجاً للصديق
ب) الدبوس مصنوع من الحديد
ج) سافرت إلى دبوس
د) أحب تناول الدبوس مع الشاي",أ
دبونة,دبونة : الذي لا يحسن التصرف ويطلق أحيانًا على الشخص الذي يقدم على أمور وهو لا يعرف عواقبها السيئة,Central,"المهمة: حدد الجملة التي تحتوي على الاستخدام الصحيح لكلمة 'دبونة'.
السؤال: أي من الجمل التالية تستخدم كلمة 'دبونة' بشكل صحيح؟
الخيارات:
أ) كان ربيع دبونة عندما قرر السفر دون حجز مطار.
ب) تحب سارة الحيوانات الدبون.
ج) كانت الأم دبونة عندما استجابت لصراخ الأطفال.
د) رمى فهد كرة دبونة.",أ
دحدر,تعني اذهب من هنا فليس لك شأن في الموضوع,General,"المهمة: حدد السياق الذي يمكن أن تستخدم فيه كلمة 'دحدر'.
السؤال: أين يمكن أن تستخدم كلمة 'دحدر' بشكل مناسب؟
الخيارات:
أ) أثناء مناقشة جادة
ب) في محادثة غير رسمية
ج) في فصل دراسي
د) في اجتماع رسمي",ب
دحديرة,هو المكان المائل للنزول,Western,"المهمة: اختر مثالًا صحيحًا يتضمن كلمة 'دحديرة'.
السؤال: أي من الجمل التالية تحتوي على استخدام صحيح لكلمة 'دحديرة'؟
الخيارات:
أ) خرجت من الدحديرة وضربت الحائط.
ب) بيخرج من دحديرة و يطيح فحفرة.
ج) راح السوق و اشترى دحديرة.
د) دحديرة كانت كبيرة في المدينة.",ب
دُحدِيرَه,أي المكان المتدرج للأسفل .,Western,"المهمة: اختر السياق الصحيح لاستخدام كلمة 'دُحدِيرَه'.
السؤال: في أي سياق يمكن أن نستخدم كلمة 'دُحدِيرَه'؟
الخيارات:
أ) في التعبير عن الطقس
ب) في وصف الطرق الجبلية
ج) في الحديث عن الوظائف
د) في التحدث عن تناول الطعام",ب
دِحْقَة,دحقة وتعني زاوية أو أي مكان ضيق جدا تحيط به الجدران من الجانبين . مثلا دولاب في ركن الغرفة بينه وبين الجدار مساحة هذه المساحة يقال عنها دحقة وغالبا تكون مناسبة لإخفاء أي شيء عن الأنظار جاء في لسان العرب : أدحقه الله : باعده عن كل خير وفي حديث علي، رضي الله عنه: سيظهر بعدي عليكم رجل مُنْدَحِقُ البطن أي واسعها كأَنَ جوانِبها قد بَعُد بعضُها من بعض فاتَّسعتْ. وهكذا اكتسبت الكلمة العامية الدحقة ضد معناها الفصيح,Central,"المهمة: اختر الاستخدام الصحيح لكلمة 'دِحْقَة' في السياق المناسب.
السؤال: أي من الجمل التالية تستخدم كلمة 'دِحْقَة' بشكل صحيح؟
الخيارات:
أ) أريد الذهاب إلى الدحقة لأجري فيها
ب) وضعت اللعبة في الدحقة
ج) شاهدت الفيلم في الدحقة
د) ذهبت إلى الدحقة لأخذ الهواء",ب
دحلس,دحلس / دحلسة: التملق والمجاملة في الكلام بقصد قضاء حاجة أو طلب.,Western,"المهمة: اختر الجملة التي تستخدم كلمة 'دحلس' بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على الاستخدام الصحيح لكلمة 'دحلس'؟
الخيارات:
أ) دحلس عأبوك عشان يزود مصروفك.
ب) دحلس الأمور واضحة للجميع.
ج) دحلس في العداء بين الناس.
د) دحلس الطرقات لتحسن المرور.",أ
دحلسة,دحلسةعبارة عن اسلوب او وسيلة ترضية للشخص حتى تصل معه للهدف المطلوب,Western,"المهمة: اختر الجملة الصحيحة التي تعبر عن استخدام 'دحلسة'.
السؤال: أي من الجمل التالية تستخدم فيها كلمة 'دحلسة' بشكل صحيح؟
الخيارات:
أ) أنا أتناقش معه بأسلوب دحلسة.
ب) يعجبني طعام دحلسة.
ج) أذهب لرحلة دحلسة.
د) أحب قراءة دحلسة.",أ
دَحين,دحين = الآن / حالاً / بعد قليل,Western,"المهمة: حدد الاستخدام الصحيح لكلمة 'دَحين' في الجملة.
السؤال: أي الجمل التالية تستخدم كلمة 'دَحين' بشكل صحيح؟
الخيارات:
أ) أنا جالس في المقهى دَحين.
ب) أكلت الفطور دَحين.
ج) سأسافر إلى جدة دَحين.
د) درست الرياضيات دَحين.",ج
دحينا,اي بمعنى : الآن ، حالا,Western,"المهمة: اختر العبارة التي تستخدم الكلمة 'دحينا' بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على استخدام صحيح لكلمة 'دحينا'?
الخيارات:
أ) دحينا نلافظ الجرس
ب) تعال نأكل دحينا
ج) دحينا نروح للبحر
د) ننام دحينا",ج
دُخْش,كلمة جيزانية بمعنى الزقاق او الممر الضيق في الشوارع والحواري,Southern,"المهمة: اختر الجملة التي تحتوي على الاستخدام الصحيح لكلمة 'دُخْش'.
السؤال: أي من الجمل التالية تستخدم كلمة 'دُخْش' بشكل صحيح؟
الخيارات:
أ) يا ريتني أروح دُخْش العائلة
ب) كنت أتمشى في الدُخْش
ج) اجتمعنا في الدُخاش
د) أحب الذهاب إلى الدُخس",ب
دراجة,هي مركبة ذو عجرلتين ومقوَدْ ( سيكل ، بسكليت ),Southern,"المهمة: اختر الخيار الذي يناسب استخدام كلمة 'دراجة' في السياق.
السؤال: في أي سياق تستخدم كلمة 'دراجة' أكثر؟
الخيارات:
أ) في ملعب
ب) في الشارع
ج) في المكتب
د) في المطعم",ب
درّاعة,الشماغ ، الغترة ، العمامة,Central,"المهمة: اختر الجملة التي تستخدم فيها 'درّاعة' بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم 'درّاعة' بشكل صحيح؟
الخيارات:
أ) ارتديت درّاعة حمراء في العيد.
ب) درست درّاعة في المدرسة.
ج) شعرت بالسعادة عندما سمعت درّاعة.
د) ألعب درّاعة مع الأصدقاء.",أ
دَرْبَازان,المسند الملاصق للدَرج ( السلم ) يمكن الاستناد عليه عبر اليدين,Western,"المهمة: اختر الجملة التي تستخدم كلمة 'دربازان' بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على استخدام صحيح لكلمة 'دربازان'؟
الخيارات:
أ) أنا أحتاج دَرْبَازان لأن السلم مرتفع.
ب) هو ذهب إلى السوق.
ج) الكرة كانت رائعة!
د) يوجد ضوء في الغرفة.",أ
درباوي,"الدرباوي (الجمع: درباويّه) هي ظاهرة ثقافية وفكرية وأخلاقية ظهرت بين الشباب السعودي, هناك اختلاف عن أول ظهور لهذه الثقافة. كلمة درباوي جائت من عبارة ""درب الخطر"" وهو إسم منتدى يتجمع فيه هؤلاء الشباب ويشاركون فيه اهتماماتهم, أهمها حبهم للتفحيط حيث يقومون بتبادل مقاطع الفيديو والاتفاق عن مواعيد وأماكن معينة لممارسة هوايتهم. يتميز الدرباوي بصفات شكلية وأخلاقية وثقافية - لغتهم السوقية: عندما يتكلم الدرباوي فإنه يختار كلمات سوقية ليعبر عمّا في خاطرة حتى لو كان يقول قصيدة, ويحب المصطلحات الغربية. - الاندفاع والاستعراض: بنظرهم هذه رجولة أيضا هم يدعمون بعضهم بعضا ويحترمون كل شخص يتصرف مثلهم, وبعض الدرباوية يحمل معه عصا عجره لفرض الهيبة ومنهم من يضعها بداخل شنطة السيارة ويستخدمها عند الحاجة - الكَسْرات: وهو نوع من الأغاني الشعبية ويحبون سماعها مسرعة خصوصا أثناء التفحيط. - الألقاب: يحب الدرباوي أن يعطي لنفسه لقب ويفرح عندما يخاطبه أحد به (أمثلة: الكينغ, العاشق الحزين, أبو زقم, أبو رشاش.) - الإنحراف الأخلاقي: مثل شرب الخمور وتعاطي المخدرات واغتصاب الصبيان ويفعلون كل هذه الأشياء بالسر. - الرغبة بالتوبة: تجد كثير من الدرباويين لديهم تأنيب ضمير وإحساس بالذنب ورغبة بالتوبة, وصار مألوفا أن ترى أحد الدرباويين تحولوا للوعظ الديني - الملابس: الدرباوي يحب اللبس الرسمي (الثوب والشماغ) وهو لا يتحرج بالخروج بملابس المنزل حتى ولو كان يريد الذهاب لمكان فاخر, وهو يفتخر باهماله بمظهره الشخصي ويعتبر الشاب الذي يحرص على نظافة مظهره خكري - البلادة: فهو عالة على أسرته غير مهتم بالدراسة وليس له فائدة وكثيرا منهم يتنمر على أخواته وأمه ويثير المشاكل في المنزل ولذا كثير من العائلات تتركه وشأنه حتى ترتاح من شره",General,"المهمة: اختر الجملة التي تستخدم فيها كلمة 'درباوي' بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم كلمة 'درباوي' بشكل صحيح؟
الخيارات:
أ) أنا كنت درباوي في شبابي.
ب) أحتاج إلى درباوي لتعلم اللغة الإنجليزية.
ج) الطقس اليوم درباوي.
د) رأيت درباوي يزرع الزهور.",أ
دَرْج,الدَّرْج : كلمة تطلق على الشخص الذي يتصرّف تصرفات صبيانية ، أو الذي يفهم ويحلل الأمور تحليلا طفوليا سطحيا . وهي مأخوذة من دَبَّ الطفلُ ودَرَجَ ، إذا مشى أول مَشْيٍ له ، كنايةً عن صِغَرِهِ ، وحداثةِ سِنِّه وفهمه وخبرته . وهي لا تستخدم للمدح ، بل للذم ، ولكنها ليست للذم القاسي ، فهي تقال بين الأصدقاء والأصحاب على سبيل المداعبة . فإذا قيلت لشخص كبير في العمر أو القَدْر أو لشخص لا يَمُونُ عليه القائل كانت إهانةً بالغة . ملاحظة : كلمة دَرْج ، ليست مأخوذة من الدُّرْجِ الذي هو الصندوق الجرّار الذي يُسْحب من الخزانة أو الطاولة لتوضع فيه الأشياء . ولا من الدَّرَجِ الذي يتكون من درجات تصل بنا من طابق إلى طابق في البناء .,Central,"المهمة: اختر الحالة الصحيحة لاستخدام كلمة 'دَرْج'.
السؤال: في أي حالة يمكن أن نقول لشخص 'اخطأت، يَا دَرْج'؟
الخيارات:
أ) عندما ينجز شيئاً معقداً
ب) عندما يتحدث بدون أن يكون لديه فهم كافٍ
ج) عندما يكون متفوقاً في دراسته
د) عندما يساعد الآخرين",ب
درجها,أمشي أو اذهب وفي المعجم : ودَرَج الشيخ والصبي يَدْرُجُ دَرْجاً ودَرَجاناً ودَرِيجاً، فهو دارج: مَشَيا مَشْياً ضعيفاً ودَبَّا.,Central,"المهمة: اختر الجملة التي تستخدم فيها 'درجها' بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على الاستخدام الصحيح لكلمة 'درجها'؟
الخيارات:
أ) هل تريد أن درجها؟
ب) أعتذر، أريد أن أذهب في الحال وأقول لك درجها.
ج) تفضل، اجلس هنا.
د) أنا ذاهب إلى السوق.",ب
