Term,Meaning_of_term,Dialect type,True_False_question,correct_answer
تَعرقص,تعني الدوران واو الرقص من شددت الضرب,General,"المهمة: التأكد إذا كانت الجملة التالية صحيحة أم خاطئة.
السؤال: الجملة 'جعلت محمد يتعرقص من شددت الضرب' تشير إلى أن محمد يثني جسده.
الخيارات:
أ) صحيح
ب) خطأ",ب
تعميرة,من أسماء الشيشة في المملكة العربية السعودية,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: صفة الشيشة تُسمى 'تعميرة' في المملكة العربية السعودية.
الخيارات:
أ) صحيحة
ب) خاطئة",أ
تعومس,تعكر مزاجه,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'تعومس' تعني أن الشخص يشعر بالراحة.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
تفخ,شخص عديم الأهمية,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'تفخ' تشير إلى شخص له قيمة كبيرة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
تفرك,تفرك مصطلح يستعمل في مناطق جنوب الحجاز وربما مناطق أخرى بمعنى تهرب يقابل المصطلح هذا مصطلح يهج باللهجات السعودية الأخرى,Southern,"المهمة: حدد صحة العبارة التالية: 'كلمة تفرك تعني التهرب وتستخدم في مناطق حجازية'.
السؤال: هل العبارة صحيحة أم خاطئة؟
الخيارات:
أ) صحيح
ب) خاطئ",أ
تفطن,تذكر,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'تفطن' تعني 'نسي'.
الخيارات:
أ) صحيح
ب) خطأ",ب
تفيت,تفيتها؛بمعنى سرقتها او اخذتها بدون علم احد,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: كلمة 'تفيت' تعني أن تأخذ شيئاً مع علم الآخرين.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
تِقال,تُقال عند التمثيل,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'تِقال' تعني أنها تُستخدم عند الكتابة.
الخيارات:
أ) صحيح
ب) خطأ",ب
تقانه,تَقَانَة ، مُتقْنَن التقانة صفة تطلق على الشيء الدقيق او التقنية التي وُظفت فيها المعرفة او الصناعة بطريقة مُثلى.,General,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'تقانه' تشير إلى عدم الدقة في التنفيذ.
الخيارات:
أ) صحيح
ب) خطأ",ب
تكتيك المظلوميه,هو اسلوب من اساليب التلاعب النفسي وهو عندما يتظاهر الشخص بالمظلومية او بالضرر الحاصل له بسبب طرفٍ ما ، وذلك ليبرر لنفسه استحقاق مميزات او حق القيام بعدوان ضد الآخرين او طلب تمييز ايجابي كتعويض عادل.,General,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: يُستخدم 'تكتيك المظلوميه' كمبرر للأفعال السلبية.
الخيارات:
أ) صحيح
ب) خطأ",أ
تٍكَرْفَس,"- فعل بمعنى ""تعثر"" ويصف ضرب القدمين أو إحداهما لشيء ما أثناء المشي والسقوط على الأرض بعدها بشكل مزري. - يقولها أهل نجد وبالذات أهل القصيم. - قد تضاف (على وجهي) بعدها احياناً.",Western,"المهمة: تقييم العبارة المتعلقة بكلمة 'تكرفس'.
السؤال: عبارة 'تكرفس' تعني 'السقوط على الأرض بشكل مزري'.
الخيارات:
أ) صح
ب) خطأ",أ
تكروني,تعني شديد السواد .,Southern,"المهمة: قم بتحديد صحة العبارة التالية: 'كلمة تكروني تعني شديد السواد'.
السؤال: هل العبارة التالية صحيحة أم خاطئة؟ 'كلمة تكروني تعني شديد السواد'.
الخيارات:
أ) صحيح
ب) خاطئ",أ
تكسفت,أي تبهذلت,Southern,"المهمة: قرر هل العبارة صحيحة أم خاطئة.
السؤال: عبارة 'تكسفت تعني تجهزت' صحيحة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
تكفى,أرجوك,General,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'تكفى' تُستخدم دائماً للتعبير عن الاستعطاف.
الخيارات:
أ) صحيح
ب) خاطئ",أ
تكميله﻿,يعني طقم بدلة رياضة نسميها تكميلة اول ايام الطيبين,Western,"المهمة: تقييم العبارة التالية.
السؤال: عبارة 'تكميله' تشير إلى بدلة رياضية نسائية.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة:",
تكي,تكي كلمة أخذت من كلمة إتكأ باللغة العربية الفصحى وتعني استند. نقعد ونستريح.,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'تكي' هي كلمة مأخوذة من الفصحى وتعني الجلوس بعد العمل.
الخيارات:
أ) صحيح
ب) خاطئ",أ
تلايص,تستخدم ل اسكات الشخص,General,"المهمة: افحص العبارة التالية وحدد صحتها.
السؤال: تستخدم كلمة 'تلايص' في اللغة العربية الفصحى بمعنى الثناء.
الخيارات:
أ) صحيح
ب) خطأ",ب
تلايط,فعل أمر . تلايط: أي أغلق الموضوع ولا أريد سماع منك كلمة زائدة عن الكلام الذي قلته. وتقال غالبا عند سماع الهراء.,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'تلايط' تستخدم عندما يرغب شخص ما في الاستماع إلى المزيد من الحديث.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
تلسب,تمطر بقوة .,Northern,"المهمة: حدد صحة العبارة التالية.
السؤال: كلمة 'تلسب' تعني تجول بدون هدف.
الخيارات:
أ) صحيح
ب) خطأ",ب
تلفلفوك,أن الجن يتلفون حولك مثل الدائره,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: تلفلفوك تعني أن الأرض تلتف حول الشمس.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
تلَّه,تله يعني اسحبه,Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خطأ.
السؤال: كلمة 'تلَّه' تعني دفع الشيء.
الخيارات:
أ) صحيح
ب) خطأ",ب
تَلِّيك,حذاء أو صندل مفتوح وسهل اللبس. تصميمه المكشوف يفسح المجال للتيارات الهوائية للولوج إلى الداخل ليعطي لابسه شعورا بالراحة في البيئة العربية الساخنة.,Western,"المهمة: حدد ما إذا كانت الجملة التالية صحيحة أم خاطئة.
السؤال: تُلِيق في اللهجة السعودية يعني 'صندل مفتوح يتيح للهواء الدخول'.
الخيارات:
أ) صحيح
ب) خاطئ",أ
تم,كلمة بمعنى تمام يعني اذا طلب منك شخص شيء ما واردت أن تجيبه لطلبه فإنك تقول له: تم.,Central,"المهمة: تحديد إذا كانت الجملة صحيحة أم خاطئة.
السؤال: الجملة 'تم' تعني 'لا أستطيع'.
الخيارات:
أ) صحيح
ب) خطأ",ب
تمبله,يعني ماتفلح في شي,Western,"المهمة: حدد صحة العبارة التالية.
السؤال: كلمة 'تمبله' تعني النجاح في العمل.
الخيارات:
أ) صحيح
ب) خطأ",ب
تمكيس,تعني عمل مزيج أو خليط بين أشياء مختلفة، مثل المأكولات ذات الأطعمة المختلفة، أو العطور ذات الروائح المختلفة,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: التمكيس يعني مزيج من الروائح فقط.
الخيارات:
أ) صحيح
ب) خطأ",ب
تنأ,"تعني ""أنتظر"". وأصل الكملة مأخوذة من ""التأني""",Central,"المهمة: تحديد صحة العبارة المتعلقة بكلمة 'تنأ'.
السؤال: عبارة 'تنأ' تعني 'التأني' هي عبارة صحيحة.
الخيارات:
أ) صحيح
ب) خطأ",أ
تناحه,اي شخص قليل الاستيعاب او قليل التركيز .,Western,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'تناحه' تشير إلى شخص صاحب تركيز عالٍ.
الخيارات:
أ) صحيح
ب) خاطئ",ب
تناظر,تنظر إلى,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: تناظر تعني النظر إلى شيء بشكل سلبي.
الخيارات:
أ) صحيح
ب) خطأ",ب
تنحت,تَنَّحْ: نون مشددة تنح يريد بها العامة ثبت وجمد كالصنم يتَنِّحْ: يقف متصلباً بلا حراك أو كلام كالصنم يقال: واقف امْتَنِّحْ اي بلا حركه بلا استيعاب وتركيز تنحت = فهيت اي لحظه تتوقف فيها عن التفكير وتنفصل أسلاك الذكاء ويسرح العقل,General,"المهمة: حدد صحة العبارة التالية: 'تنحت تعني التوقف بلا حراك'.
السؤال: هل العبارة 'تنحت تعني التوقف بلا حراك' صحيحة أم خاطئة؟
الخيارات:
أ) صحيح
ب) خطأ",أ
تنسبل,هرب واحدا تلو الآخر,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'تنسبل' تعني الهروب الجماعي.
الخيارات:
أ) صحيح
ب) خطأ",ب
تنصيد,انْصُد ، تِنْصُد ، مَنْصُود ، يِتْنَصَّد ، تَنْصِيدَه ، تَنْصِيد والتصنيد هو عملية تحويل شيء ما إلى كمين له طُعم ليكون فخ.,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: التصنيد هو عملية تحويل شيء إلى كمين له طُعم ليكون فخ.
الخيارات:
أ) صحيح
ب) خاطئ",أ
تنكس,اي الرقص بخبال و هبل وغالبا يكون على انغام جميلة و راقصة,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'تنكس' تعني الرقص بدون أي أنغام.
الخيارات:
أ) صحيح
ب) خطأ",ب
تهبيقة,هَبْقَه ، تَهْبِيقَه ، هبّقْنا ، مِهَبِّقِين الهبقه هي :الفعل الذي يُفعل بلا سابق تخطيط ومع العزيمه على اتمامه.,General,"المهمة: اختر إذا كانت الجملة التالية صحيحة أو خاطئة.
السؤال: كلمة 'تهبيقة' تعني الفعل الذي يُفعل بلا سابق تخطيط.
الخيارات:
أ) صحيحة
ب) خاطئة",أ
تهوله,التهوله كلمة تطلق على من يحاول إظهار عدم الفهم رغم فهمه,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'التهوله تعني الفهم الواضح' صحيحة أم خاطئة؟
الخيارات:
أ) صحيحة
ب) خاطئة",ب
تهوّية,"تهوّية , وهي كلمة من منطقة الاحساء . وتعني الحوش والحوش يعني .فناءُ الدّار ونحوُه.",Western,"المهمة: اقرأ الجملة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: كلمة 'تهوّية' تشير إلى الجلوس في غرفة المعيشة.
الخيارات:
أ) صحيح
ب) خطأ",ب
تهوّية- تهوية-تهويه,"تهوّية , وهي كلمة من منطقة الاحساء . وتعني الحوش والحوش يعني .فناءُ الدّار ونحوُه.",Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'تهوّية' تستخدم للإشارة إلى ساحة عامة.
الخيارات:
أ) صحيح
ب) خطأ",ب
توحي,بمعنى تسمع .,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'توحي' تعني أنك تشعر بشيء.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة:",
تولج,كلمة ونوعها فعل، وتعني أزعج، أقلق,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خطأ.
السؤال: تستخدم كلمة 'تولج' في اللهجة السعودية بمعنى 'فرح'.
الخيارات:
أ) صحيح
ب) خطأ",ب
تولم,تجهز,Western,"المهمة: تحديد صحة العبارة.
السؤال: العبارة: 'تولم' تعني 'تتصل' في اللهجة النجدية.
الخيارات:
أ) صحيح
ب) خطأ",ب
تُومَاتيك,نوع من المثلجات الممكن تجهيزها في المنزل، تشتهر في رمضان، وتجهز عن طريق سكب كمية من العصير في كيس بلاستيكي صغير ثم ربطه ووضعه في المجمد (الفريزر). أشهر الأمثلة هي تلك المحضرة من فيمتو وتانج برتقال.,Western,"المهمة: تحديد صحة العبارة المتعلقة بكلمة 'تُومَاتيك'.
السؤال: تُعتبر 'تُومَاتيك' نوعاً من المثلجات التي تشتهر في رمضان.
الخيارات:
أ) صحيح
ب) خطأ",أ
توي,كلمة (توي) لها معنا مماثل لها وهوا (دوبي) وتستخدم هذه الكلمة حينما تريد اخبار اي شخص بانك فعلت شيئا ما الان وليس منذ زمن.,Western,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'توي' تعني أن الشيء حدث في الماضي.
الخيارات:
أ) صحيح
ب) خاطئ",ب
زهق,تعني طفش وملل,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'زهق' تعبر عن الفرح والسعادة.
الخيارات:
أ) صحيح
ب) خطأ",ب
تيامن,اتجه إلى اليمين,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: تعني كلمة 'تيامن' الاتجاه إلى اليمين.
الخيارات:
أ) صحيح
ب) خطأ",أ
تيدنا,هي كلمه تدل على التمهل,Western,"المهمة: تحديد صحة العبارة حول كلمة 'تيدنا'.
السؤال: العبارة التالية صحيحة: 'تيدنا' تعني التسرع.
الخيارات:
أ) صحيح
ب) خطأ",ب
تيراريا,مصطلح للنوع الجديد من المخدرات,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: تيراريا مصطلح يُستخدم لوصف نوع قديم من المخدرات.
الخيارات:
أ) صحيح
ب) خاطئ",ب
ثانوس,اجود العرب و اكرمهم و اجملهم خلقاً و اخلاقاً,Western,"المهمة: تحقق من صحة العبارة التالية: 'ثانوس يشير إلى أكرم الناس وأجودهم في الأخلاق'.
السؤال: هل العبارة صحيحة أم خاطئة؟
الخيارات:
أ) صحيح
ب) خطأ",أ
ثلج مويه,"لعبة يمكن لعبها في اي مكان شرط وجود مكان واضح يمكن اعتباره الحزيزه ، قواعد اللعبه :- • ان يكون هناك فريقان ( فريق الماء ""مويه"" وفريق الثلج) وفريق الثلج لابد ان يكون عدد افرادهم اقل من عدد افراد المويه في بداية اللعبة . • هدف فريق الثلج هو تجميد اكبر قدر ممكن من افراد الموية ، وانهاء الجولات بسرعه. • هدف المويه جعل الثلج يستسلم ويُرهق من كثرة الجري. • اذا شخص من فريق الثلج لمس شخصًا من فريق المويه فإن على المويه ان تتجمد (اي يتوقف مكانه) • اذا انتهت الجولة وكان هناك مياه مجمده فانها تتحول الى فريق الثلج • تنتهي الجولة عندما يدخل جميع افراد المويه الغير مُجمّدين الحزيزه - طالما ان هناك شخص من المويه وكان غير مجمد في ارضية الملعب فان الجوله قائمة. • يستطيع افراد فريق الموية تحرير صديقهم المجمد اذا لمسوه قبل انتهاء الجولة ، اما ان لم يُنقذ فانه بعد انتهاء الجولة يتحول الى ثلج. • لا يستطيع افراد الثلج تجميد من هم في داخل الحزيزه. • يفوز فريق الثلج اذا بقي شخص واحد من افراد الموية لم يتحول الى ثلج.",Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: يتم تجميد الأشخاص من فريق المويه إذا تم لمسه من قبل فريق الثلج.
الخيارات:
أ) صحيح
ب) خطأ",أ
ثمين,ثمين : تعني بعدين او ثم,Southern,"المهمة: قم بتحديد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'ثمين' تعني 'عابر'.
الخيارات:
أ) صحيح
ب) خاطئ",ب
جَبّاسة,وصف يطلق على الشخص الفضولي وفعله يجبس.,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: اسم الجَبّاسة يستخدم لوصف شخص محب للعيش بمفرده.
الخيارات:
أ) صحيح
ب) خاطئ",ب
جثل / جثلة,الشخص ضخم البنية وعريض المنكبين. للانثى جثلة,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: تعتبر كلمة 'جثل' تعبيرًا يستخدم لوصف شخص نحيف.
الخيارات:
أ) صحيح
ب) خطأ",ب
جح,وتعني الحبحب أو البطيخ الأحمر وهو من الفواكهه الصيفية,Central,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'جح' تعني نوع من أنواع الفواكه الصيفية.
الخيارات:
أ) صحيح
ب) خطأ",أ
جحفل,هي كلمة اتت من اللاعب محمد جحفلي حيث انه سجل هدف في احد المباريات في آخر دقيقة من المباراة واصبحت كلمة دارجة عند حصول شيء مباغت في آخر الوقت,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة: 'كلمة جحفل تستخدم للدلالة على شيء مزعج يحدث في اللحظات الأخيرة.'
الخيارات:
أ) صحيح
ب) خطأ",ب
جحفلي,"المعنى :مفاجأة الخصم بالتعادل في اخر النزال او قلب الخسارة الى فوز - جاءت الكلمة من اسم لاعب نادي الهلال ""محمد جحفلي"" واطلقت بعد هدفه على نادي النصر في اخر دقائق مما جعل المباراة تعود الى التعادل وذلك في نهائي كاس الملك السعودي لعام .",General,"المهمة: حدد ما إذا كانت الجملة صحيحة أم خاطئة.
السؤال: الجحفل هو حالة يتحقق فيها فوز المنافس في الوقت الإضافي.
الخيارات:
أ) صحيح
ب) خطأ",ب
جِحلوطي,من جحلط يتجحلط متجحلط فهو جحلوطي المتمرد الخارج على النظام العائلي خاصة وغالبا للرجل دون المرأة لأن المرأة أصلا ما تقدر تتمرد :(,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: المرأة تعتبر جحلوطية وفقًا للمعنى المعروف.
الخيارات:
أ) صحيح
ب) خطأ",ب
جخاخ,تقصد للمبذر المسرف .,Southern,"المهمة: حدد صحة العبارة التالية.
السؤال: العبارة: 'الشخص الجخاخ هو شخص يعرف كيف يوفر المال.'
الخيارات:
أ) صحيح
ب) خطأ",ب
جدة,"مدينة سعودية عادية جدّا في الواقع، مع كل ما يقال عنها عن اختلاف او كما قد تسمى ب ""جدّة. غير"" ولا أراها تختلف في شيئ سوى في كونها المنطقة أو المدينة الوحيدة التي يشكل السكان الأجانب - المقيمين الغير سعوديين الأصل نسبة تقارب ال % من أجمالي سكانها. ل صاحب منتدى بيضيبيديا حرية الرأي وكتابة ما يشاء من آراء بحرية كاملة. لي معرفة كبيرة بالسعودية بشتى تفاريعها الجغرافية لكن المثير حقا ان تلك المسافات الشاسعة التي قد تقطعها بالسيارة في بلد تتخلله الصحاري والبراري لن يوصلك سوى الا على منطقة مماثلة تماما للمنطقة التي انطلقت منها والفرق الوحيد هو الفرق في اللهجات لا أكثر. التقاليد والمفاهيم المحافظة تطعن أصولها في جذور جدة كما هي تطعن في جذور أي منطقة سعودية أخرى ولا يوجد دليل واقعي ملموس واحد على وجود تفتح إجتماعي استثنائي ولو نسبيا في هذه المنطقة. الخرافة عندما يتم تكرارها بما فيه الكفاية تصير الى حقيقة وكذلك مع الكذبة. كثرة تكرارها يعطيها زخم وقوة وهذا كل ما في الأمر. أيضا. هي ليست منطقة مهملة ومتخلفة كما قد يصورها البعض فشمال جدة يحتوي على أحياء راقية ونظيفة، ومن ناحية مشاكل التصريف الصحي وانتشار الجرذان والقوارض وتهالك بنية الشوارع فهذا من الممكن ان تجده في مناطق أخرى ايضا. يكفي فقط ان المدينة مكتنزة بعدد هائل من المراكز التجارية الكبيرة أو المولات وتنافس حتى دُبي في أعدادها بفارق إن دُبي مدينة ليبرالية بشعبها وقوانينها يسكنها هنود وأوروبيون وشرق أوسطيون من لبنان وإيران وفلسطين وغيرها. بينما جدة مدينة محافظة كمثيلاتها.",Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: جدة هي مدينة تحتوي على نسبة عالية من السكان الأجانب.
الخيارات:
أ) صحيح
ب) خاطئ",أ
جدول,يقولها عبدالهادي أكثر من قوله للحمد لله لو قال الحمد لله بدلاً منها لكسب الكثير من الثواب.,General,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: كلمة 'جدول' تُستخدم أكثر كعبارة تعبيرية بدلاً من 'الحمد لله'.
الخيارات:
أ) صحيح
ب) خاطئ",أ
جرار,الديوث القواد الذي يجعل اهله يمارسون الدعارة الفعل جرارة يجر اهله للزنا,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: الجملة 'فلان جرار يجر على أخته' تعني أن فلان يحمي عائلته.
الخيارات:
أ) صحيح
ب) خطأ",ب
جربان,العامية:الشخص المقرف الوسخ! الفصحى:المريض بالجرب!,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'جربان' تعني الشخص النظيف.
الخيارات:
أ) صحيح
ب) خطأ",ب
جرجور,جرجور وتعني الجرار الصغير,Western,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة: جرجور تعني الجرار الصغير.
السؤال: جرجور تعني الجرار الصغير.
الخيارات:
أ) صحيح
ب) خطأ",أ
جردل,الجردل هو دلو الماء، ويستخدم بالعامية كناية عن إخلاف الوعد.,Western,"المهمة: تحديد صحة العبارة حول استخدام كلمة 'جردل'.
السؤال: عبارة 'الجردل يعني دلو الماء' صحيحة.
الخيارات:
أ) صحيح
ب) خطأ",أ
جرو,كلمة عامية بكسر الجيم وضم الراء وتعني فاكهة الشمام ويقال في اللهجة النجدية : جرو أو جراوة بسكون الجيم وفتح الراء,Western,"المهمة: تحديد صحة العبارة التالية: 'كلمة جرو تعني نوع من الزهور.'
السؤال: هل العبارة 'كلمة جرو تعني نوع من الزهور.' صحيحة أم خاطئة؟
الخيارات:
أ) صحيحة
ب) خاطئة",ب
زَمِل,زمل : بمعنى شايل هم او متخوف,Central,"### نوع السؤال: صحيح/خطأ
- المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
- السؤال: العبارة ""زَمِل"" تعني الشخص الذي يشعر بالراحة والطمأنينة. 
- الخيارات: 
 A) صحيح 
 B) خطأ 
- - لأن ""زمل"" تعني الشعور بالقلق أو الخوف.",B
جعمُوص,"جعموص كلمة مصدرها مجهول حالياً .تناقلها الرباح واصدقائة منذ عصر ليس ببعيد ،و يُعنى بهذه الكلمة ""الغائط ذو الحجم الهائل""",Central,"المهمة: حدد إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: كلمة 'جعمُوص' تعني 'شيء صغير الحجم'.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة:",
جغافير,بمعنى الرغوه من المشروب,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: جغافير تعني الرغوة من المشروب.
الخيارات:
أ) صحيح
ب) خطأ",أ
جغجغة,اصل الكلمه تقال لوصف الارض التي تعاقب عليها المطر وتشبعت به فصارت لينة كالإسفنجة اذا وطِئتها وهي مشبعه بالماء، فيقال الارض تجغجغ. لكنها اصبحت ترمز للاستمناء عند الاناث.,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'جغجغة' ترمز للاستمناء عند الإناث.
الخيارات:
أ) صحيح
ب) خاطئ",أ
جغر,صرخ,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: كلمة 'جغر' تعني 'غضب'.
الخيارات:
أ) صحيح
ب) خطأ",ب
جغفة,جغفة، تعني قُبلَةٌ قوية، اي ليست قُبلَةً قصيرة او بسيطة بل قوية و أطول من القُبُلات العادية.,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: جغفة تعني قبلة قصيرة.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
جغمة,جغمة: بضم الجيم وتعني رشفة,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'جغمة' تعني شربة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
جغود,بمعنى الوجنتان الممتلئه ~,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'جغود' تعني وجه جميل.
الخيارات:
أ) صحيح
ب) خطأ",ب
جفس,"في لسان العرب "" وفي النوادر: فلان جِفْسٌ وجَفِسٌ أَي ضخم جافٍ. "" و في تاج العروس "" وفي النَّوادِر: فلانٌ جِفْسٌ وجَفِسٌ، أي ضخمٌ جافٍ. "" و في العباب الزاخر "" وفي النوادر: رجلٌ جِفْسٌ وجَفِسٌ -مثال كِبْدٍ وكَبِدٍ-: أي ضخمٍ جاف. و في الوسيط "" (الجِفْسُ) من الناس: اللئيمُ مع ضَعْفٍ ونَذَالةٍ. و- الضَّخْمُ الجافي. "" و في المحيط "" الجِفْسُ : اللئيم مع ضعف ونذالة؛ كيف تعاشر. هذا الجفسَ.-. الضخم الجافي، قيل لي إن هذا الجفسَ ملاكم ماهر. "" و في كلام العامة بهذا المعنى",Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'جفس' تعني شخص ضخم ولكنه لطيف.
الخيارات:
أ) صحيح
ب) خطأ",ب
جلالة,جلالة بكسر حرف الجيم ومعناها زولية او سجاد.,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: كلمة 'جلالة' تعني الطقس السيء.
الخيارات:
أ) صحيح
ب) خطأ",ب
جلف,اتّصف بالحمق وغلظ الطبع,Central,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'جلف' تعني الشخص اللطيف.
الخيارات:
أ) صحيح
ب) خاطئ",ب
جلمه,تطلق على الشخص الغبي المعتوه,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: تعتبر كلمة 'جلمه' في اللهجة النجدية تعبيرًا عن الذكاء.
الخيارات:
أ) صحيح
ب) خاطئ",ب
جنمبية,بإدغام النون بالمبيم فتنطق جمبية، وتعني الخنجر (سيف صغير) وعند اليمن تنطق قنمبية,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: تُنطق كلمة 'جنمبية' في اليمن كـ 'قنمبية'.
الخيارات:
أ) صحيح
ب) خاطئ",أ
جهدا,بقوة,Southern,"المهمة: تحديد مدى صحة العبارة.
السؤال: كلمة 'جهدا' تعني 'بطريقة سهلة'.
الخيارات:
أ) صحيح
ب) خطأ",ب
جُوَاز,معناها في الحجازية عرس,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'جواز' تعني كتاب سفر في اللهجة الحجازية.
الخيارات:
أ) صحيح
ب) خاطئ",ب
جوع الحوتة,تقال للشخص الذي يشعر بالجوع الشديد ولا يستطيع الصبر من شدة الجوع ويبدأ باستمرار بطلب الطعام,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة صحيحة: 'جوع الحوتة' تعبر عن شخص يمكنه الانتظار لفترة طويلة دون الطعام.
الخيارات:
أ) صحيح
ب) خطأ",ب
جوه,معنى الكلمة هو : أتى,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: كلمة 'جوه' تعني 'ذهب'.
الخيارات:
أ) صحيح
ب) خطأ",ب
زلابه,زلابه = غبي,General,"المهمة: حدد ما إذا كان البيان صحيحًا أم خطأ.
السؤال: كلمة 'زلابه' تعني شخص ذو ذكاء عالٍ.
الخيارات:
أ) صحيح
ب) خطأ",ب
جيبيلي,أحضريلي,Western,"المهمة: حدد صحة العبارة التالية.
السؤال: العبارة 'جيبيلي' تعني 'أحضري لي' في اللهجة السعودية.
الخيارات:
أ) صحيح
ب) خطأ",أ
