Term,Meaning_of_term,Dialect type,Meaning_question,correct_answer
الكتلة,الكتلة ويكتل هي الضرب المبرح بلهجة أهل تبوك,Northern,"المهمة: حدد المعنى الصحيح لكلمة 'الكتلة' في اللهجة السعودية.
السؤال: ما معنى كلمة 'الكتلة' باللهجة السعودية؟
الخيارات:
أ) ضعف الجسم
ب) الضرب المبرح
ج) قوة الشخصية
د) الضحك المستمر",ب
الكشخه,الكشخه بالنجدية تعني الملابس الفخمه الرائعه الجذابة وليست اي ملابس,Central,"المهمة: اختر المعنى الصحيح لكلمة 'الكشخه'.
السؤال: ما معنى كلمة 'الكشخه'?
الخيارات:
أ) الملابس الفخمة الرائعة
ب) الملابس الرخيصة
ج) الملابس العادية
د) الملابس الخارجية",أ
اللزقة,وصف للشخص الذي يطاردك بكل مكان ، مثل الاصق يلتصق بك في جميع شؤونك وتأتي بنفس معنى كلمة ( نشبة ),Western,"المهمة: حدد المعنى الصحيح لكلمة 'اللزقة'.
السؤال: ما هو المعنى الدقيق لكلمة 'اللزقة'؟
الخيارات:
أ) شخص محب للعلم
ب) شخص يطاردك في كل مكان
ج) شخص مختص في الطبخ
د) شخص مرح",ب
اللَّكَمَة,الارض,Central,"المهمة: حدد المعنى الصحيح للكلمة 'اللَّكَمَة'.
السؤال: ما هو المعنى الصحيح لكلمة 'اللَّكَمَة'؟
الخيارات:
أ) الغابة
ب) الارض
ج) السماء
د) البحر",ب
سربوت,كثير السهر خارج البيت,General,"المهمة: اختر الإجابة الصحيحة. 
السؤال: ما معنى كلمة ""سربوت"" في اللهجة السعودية؟ 
الخيارات: 
أ) شخص يسهر كثيرًا خارج البيت 
ب) شخص يعمل في مجال السياحة 
ج) شخص يحب المطالعة 
د) شخص يجيد الطبخ",أ
اللوذة,"اللوذة ومعناها ""الزاوية""",Central,"المهمة: حدد المعنى الصحيح لكلمة 'اللوذة'.
السؤال: ما معنى كلمة 'اللوذة'?
الخيارات:
أ) الزاوية
ب) السطح
ج) الكعبة
د) الغرفة",أ
اللي,أسم موصول شامل للجميع الضمائر والأشكال.,General,"المهمة: اختر المعنى الصحيح لكلمة 'اللي'.
السؤال: ما هو المعنى الصحيح لكلمة 'اللي'?
الخيارات:
أ) اسم إشاري
ب) اسم موصول شامل للجميع الضمائر والأشكال
ج) اسم علم
د) اسم مكان",ب
المجبب,مدخل المنزل,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'المجبب'.
السؤال: ما هو المعنى الصحيح لكلمة 'المجبب'؟
الخيارات:
أ) مدخل المنزل
ب) نوع من الأطعمة
ج) موقع جغرافي
د) نوع من الملابس",أ
المرغه,هو المكان المغبر,Western,"المهمة: اختر المعنى الصحيح لكلمة 'المرغه'.
السؤال: ما هو المعنى الصحيح لكلمة 'المرغه'؟
الخيارات:
أ) المكان النظيف
ب) المكان المغبر
ج) المكان الواسع
د) المكان المظلم",ب
المشغوله,المشغوله وتعني النمله,Central,"المهمة: حدد المعنى الصحيح لكلمة 'المشغوله'.
السؤال: ما هو المعنى الحقيقي لكلمة 'المشغوله'؟
الخيارات:
أ) النملة
ب) الذبابة
ج) الفراشة
د) العنكبوت
الإجابة الصحيحة:",
ابوسفسف,تعني كلمة <ابو سفسف> الرجل الكريم الخلوق ذو المكانه العاليه ، ظهرت الكلمه لاول مره ميلادي كنايتاً للراحل ( يوسف سليمان الشمري ) الذي كان عالماً وشاعراً وكان معروفاً بالعدل,General,"المهمة: تحديد المعنى الصحيح لكلمة 'ابوسفسف'.
السؤال: ما معنى كلمة 'ابوسفسف'؟
الخيارات:
أ) الرجل الكريم الخلوق ذو المكانة العالية
ب) الرجل القاسي والعنيف
ج) الرجل المشهور بكثرة المال
د) الرجل الجاهل",أ
سبهه,غبي أو فاغر الفاه,General,"المهمة: حدد المعنى الصحيح لكلمة 'سبهه'.
السؤال: ما هو معنى 'سبهه'؟
الخيارات:
أ) ذكي جداً
ب) غبي أو فاغر الفاه
ج) عاقل وحكيم
د) طموح",ب
المعقل,هذه وجبة غذائية دسمة تحتوي على دقيق وأرز بالاضافة الى اللبن والسمن وتشتهر هذه الوجبة عند قبيلة السفياني وخصوصا العمري حيث يتميز بهذه الوجبة عائلة عمري سفيانية يوجد بها ربة منزل متميزة جدا بالطهي وخصوصا هذه الوجبو وعادة ما تؤكل هذه الوجبة في سحور شهر رمضان حيث تساعد هذه الوجبة على ابقاء الشبع لدى الانسان حتى وجبة الافطار عند غروب الشمس,Western,"المهمة: حدد المعنى الصحيح لكلمة 'المعقل'.
السؤال: ما هو المعنى الصحيح لكلمة 'المعقل'؟
الخيارات:
أ) وهو نوع من الحلويات.
ب) وجبة تحتوي على دقيق وأرز ولبن وسمن.
ج) مشروب غازي.
د) نوع من الفواكه.",ب
الميانة,الميانة يعني الشخص قبل لاتعرفيه تتكلم معه عادي وتسولف له وكأنك تعرفه من سنين,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'الميانة'.
السؤال: ماذا تعني كلمة 'الميانة' في اللهجة السعودية؟
الخيارات:
أ) التصرف بشكل غير لائق
ب) الاستئذان قبل الدخول
ج) التحدث مع شخص بشكل عادي دون معرفة مسبقة
د) الحظر من التعامل مع الأجانب",ج
النمنم,مخلوق خرافي يزعم بأنه سفاح، مصاص للدماء، آكل للحوم البشر، وله قرون وذيل قصير، يخرج في الليل وضحاياه غالبا ما يكونون من الأطفال. اشتهرت هذه الخرافة كوسيلة بين الآباء والأمهات في الحجاز لبث الرعب في قلوب أطفالهم وحدهم عن الخروج من المنزل في فترة الليل.,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'النمنم'.
السؤال: ما هو معنى كلمة 'النمنم'؟
الخيارات:
أ) مخلوق خرافي يزعم بأنه سفاح.
ب) طائر نادر لا يعيش إلا في الجبال.
ج) نوع من الزهور.
د) جهاز إلكتروني حديث.",أ
الهبني,اي لا شيء,General,"المهمة: تحديد معنى كلمة 'الهبني'.
السؤال: ما هو المعنى الصحيح لكلمة 'الهبني'؟
الخيارات:
أ) أي شيء
ب) لا شيء
ج) الكثير
د) قليل",ب
الهرجة,الهرجة = الموضوع او السيرة,Western,"المهمة: اختر المعنى الصحيح لكلمة 'الهرجة'.
السؤال: ما هو المعنى الصحيح لكلمة 'الهرجة'؟
الخيارات:
أ) الهمس
ب) الموضوع أو السيرة
ج) النكتة
د) الاعتذار",ب
الهن,هو اسم اشارة للشي,Western,"المهمة: حدد المعنى الصحيح لكلمة 'الهن'.
السؤال: ما هي دلالة كلمة 'الهن'؟
الخيارات:
أ) دليل على الشيء
ب) اسم لطائر
ج) تعبير عن الحزن
د) يتحاشى الشيء",أ
الهنا,الشيء. وتستخدم عند نسيان اسم الشيء المشار إليه,Central,"المهمة: حدد المعنى الصحيح لكلمة 'الهنا'.
السؤال: ما معنى كلمة 'الهنا'؟
الخيارات:
أ) النجاح
ب) الشيء
ج) السرعة
د) السعادة",ب
الوكاد,الأكيد,Southern,"المهمة: اختر المعنى الصحيح لكلمة 'الوكاد'.
السؤال: ما معنى كلمة 'الوكاد'؟
الخيارات:
أ) الأكيد
ب) المجهول
ج) المتردد
د) الزائف",أ
الوليدة,يتردد في الاشعار كثير,Western,"المهمة: حدد المعنى الصحيح لكلمة 'الوليدة'.
السؤال: ما هو المعنى الصحيح لكلمة 'الوليدة'؟
الخيارات:
أ) نوع من الفاكهة
ب) يتردد في الأشعار كثير
ج) اسم فتاة
د) المفرد من الوليد",ب
ام قسم,للتاكيد على سالفة معينه,General,"المهمة: حدد معنى كلمة 'ام قسم' في الجملة التالية.
السؤال: ما معنى كلمة 'ام قسم'؟
الخيارات:
أ) للعدول عن الكلام
ب) للتأكيد على سالفة معينة
ج) للتعبير عن الاستغراب
د) للتعجب",ب
اما,معناه من جدك؟ وتقال في حالة عدم التصديق عند سماع خبر او معلومه,Western,"المهمة: حدد المعنى الصحيح لكلمة 'أما'.
السؤال: ما معنى كلمة 'اما'؟
الخيارات:
أ) تعني التأكيد
ب) تعني الاستفهام
ج) تعني عدم التصديق
د) تعني القبول",ج
امحطك,الضرب الشديد اللذي يؤدي الى اعاقه,Central,"المهمة: حدد المعنى الصحيح للكلمة 'امحطك'.
السؤال: ما هو المعنى الصحيح لكلمة 'امحطك'؟
الخيارات:
أ) الضرب الخفيف
ب) الضرب الشديد الذي يؤدي إلى إعاقة
ج) الهدية القيمة
د) التعاون بين الأصدقاء",ب
امحطوه,اضربه بشده,Central,"المهمة: حدد المعنى الصحيح لكلمة 'امحطوه'.
السؤال: ما هو المعنى الصحيح لكلمة 'امحطوه'؟
الخيارات:
أ) اتركوه
ب) اضربوه بشدة
ج) أطعموه
د) ساعدوه",ب
امخبت,تعني الأرض الفضاء أو البر,General,"المهمة: حدد المعنى الصحيح لكلمة 'امخبت'.
السؤال: ماذا تعني كلمة 'امخبت'؟
الخيارات:
أ) الارض الفضاء أو البر
ب) المكان المظلم
ج) الماء العذب
د) المنزل الفخم",أ
امرد,امرد(فعل امر) يمرد(فعل مضارع) مرد(فعل ماضي) ومرد بمعنى قبص(اي مسك بجلد الانسان وفره بيديه بقوه),Central,"المهمة: حدد المعنى الصحيح لكلمة 'امرد'.
السؤال: ما هو المعنى الدقيق لكلمة 'امرد'؟
الخيارات:
أ) شخص دون لحية
ب) فعل أمر
ج) يستخدم في الرياضة
د) آلة موسيقية",ب
امردغك,يعني أضربك ضربا شديدا وهناك كلمة أخرى بمعنى مشابه وهي أدبغك,General,"المهمة: حدد المعنى الصحيح لكلمة 'امردغك'.
السؤال: ماذا تعني كلمة 'امردغك'؟
الخيارات:
أ) أضربك ضربا شديدا
ب) أعتني بك
ج) أساعدك
د) أتعلم منك",أ
امرشه,"فعل أمر ويعني ""أدبه"" بسكون الباء والاسم منه <مرش>وله معاني مرادفه : تنهزره ، اخرشه اكرشه .إلخ .",Central,"المهمة: حدد المعنى الصحيح لكلمة 'امرشه'.
السؤال: ما هو معنى كلمة 'امرشه'؟
الخيارات:
أ) أمر للأدب
ب) أمر للسخرية
ج) أمر للمساعدة
د) أمر للتأديب",أ
امطخه,يعني قبله ( بتشديد الباء ) - تقبيل الخد.,Central,"المهمة: حدد المعنى الصحيح لكلمة 'امطخه'.
السؤال: ما هو معنى كلمة 'امطخه'؟
الخيارات:
أ) قبله ( بتشديد الباء ) - تقبيل الخد.
ب) مصافحة اليد.
ج) عناق.
د) التوديع.",أ
امعصى,تقال لشخص طلب منك طلب او غير ذلك وانت لا تريد ان تفعله تأتى بمعنى لاا,Central,"المهمة: حدد المعنى الصحيح لكلمة 'امعصى'.
السؤال: ما هو المعنى الصحيح لكلمة 'امعصى' في اللهجة السعودية؟
الخيارات:
أ) التردد في أداء واجب
ب) القول بالإيجاب
ج) رفض الطلب
د) قبوله",ج
انبطح,استلقي على ظهرك,Southern,"المهمة: حدد معنى كلمة 'انبطح'.
السؤال: ما هو المعنى الصحيح لكلمة 'انبطح'؟
الخيارات:
أ) استلقي على ظهرك
ب) اجلس على الأرض
ج) اقفز للأعلى
د) اتجه نحو اليسار",أ
انتا,انتا : بمعنى ( أنت ) جمله سديراويه .,Central,"المهمة: ضع علامة على الخيار الصحيح الذي يوضح معنى 'انتا'.
السؤال: ما معنى كلمة 'انتا' في اللهجة السعيدة؟
الخيارات:
أ) أنا
ب) هو
ج) أنت
د) هي",ج
انتبزوه,هي دعوه بأن يأخذه الجن من مكانه لمكان آخر,Western,"المهمة: اختر المعنى الصحيح لكلمة 'انتبزوه'.
السؤال: ما معنى كلمة 'انتبزوه' في اللهجة السعودية؟
الخيارات:",ب
انتسب الغدا,اي ضع لي في صحني من الغداء او العشاء او الفطور,Central,"المهمة: اختر المعنى الصحيح لعبارة 'انتسب الغدا'.
السؤال: ماذا تعني عبارة 'انتسب الغدا'؟
الخيارات:
أ) ضع لي في صحني من الغداء أو العشاء أو الفطور
ب) أخرج لي الطعام من المطبخ
ج) أعطني موعد الغداء
د) أعد لي الشراب",أ
انحاش,فر هاربًا!,Central,"المهمة: حدد المعنى الصحيح لكلمة 'انحاش'.
السؤال: ما معنى كلمة 'انحاش'؟
الخيارات:
أ) انتظر
ب) فر هاربًا
ج) انطلق بسرعة
د) توقف",ب
اندر,اخرج ، اندر بره ، اي : اخرج خارجا,Western,"المهمة: اختر المعنى الصحيح لكلمة 'اندر'.
السؤال: ما معنى كلمة 'اندر'؟
الخيارات:
أ) اخرج خارجا
ب) ادخل هنا
ج) اجلس مكانك
د) ابدأ العمل",أ
اندرقي,بمعنى اتغطي,Western,"المهمة: اختر المعنى الصحيح لكلمة 'اندرقي'.
السؤال: ما هو المعنى الصحيح لكلمة 'اندرقي'؟
الخيارات:
أ) اتغطي
ب) استرح
ج) اذهب
د) اجلس",أ
اندفق,إندَفَق: اي انسكب على الارض وتقال للسوائل,Central,"المهمة: حدد المعنى الصحيح لكلمة 'اندفق'.
السؤال: ما معنى كلمة 'اندفق'؟
الخيارات:
أ) ازداد الأمطار
ب) انسكب على الأرض
ج) تلاشى في الهواء
د) اشتعل فيها النار",ب
انردج,انردج ينردج ردجا فهو منردج. وتعني السقوط على مؤخرة الرأس,General,"المهمة: حدد المعنى الصحيح لكلمة 'انردج'.
السؤال: ما هو المعنى الصحيح لكلمة 'انردج'؟
الخيارات:
أ) الغوص في الماء
ب) السقوط على مؤخرة الرأس
ج) الذهاب بسرعة
د) الاصطدام بشيء",ب
انزغبت,يعني عازمينك,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'انزغبت'.
السؤال: ماذا تعني كلمة 'انزغبت'؟
الخيارات:
أ) عازمينك
ب) تذمر
ج) سفر
د) راحة",أ
انزلع,انزلع . [ كلمة زجر بمعنى إبتعد . ] أو انقلع بالعاميه . أما المتمرس بهذه الجمله فقد يقول هنزلع بس بتبديل الالف مكانه ال ه,Central,"المهمة: حدد المعنى الصحيح لكلمة 'انزلع'.
السؤال: ما هو معنى كلمة 'انزلع'؟
الخيارات:
أ) اترك المكان
ب) تعال إلى هنا
ج) اجلس معي
د) اذهب بعيداً",أ
انسفلو,يقصد بهذه الكلمة اشتم الشخص الذي بينك وببينه خصومه,Western,"المهمة: حدد المعنى الصحيح لكلمة 'انسفلو'.
السؤال: ماذا تعني كلمة 'انسفلو'؟
الخيارات:
أ) يمدح الشخص
ب) يشتم الشخص
ج) ينصح الشخص
د) يهنئ الشخص",ب
انسل,وتعني الاعزب بشكل غير طوعي(اي بغير رغبة منه ان يكون اعزبًا) وهي كلمة انجليزية الاصل incel مركبة من Involuntary celibate ؛ اي اعزب بشكل غير طوعي. نتطق اِنْسِل للمذكر و اِنْسِلَه او فِمْسِل للمؤنث,General,"المهمة: حدد المعنى الصحيح لكلمة 'انسل'.
السؤال: ماذا تعني كلمة 'انسل'؟
الخيارات:
أ) شخص يسافر كثيرًا
ب) أعزب بشكل غير طوعي
ج) شخص ثري جدًا
د) شخص مشهور",ب
انشعف,تعني انصرع او بالغ في ردة في الفعل,Western,"المهمة: حدد المعنى الصحيح لكلمة 'انشعف'.
السؤال: ماذا تعني كلمة 'انشعف'؟
الخيارات:
أ) انصرف
ب) انصرع أو بالغ في ردة فعل
ج) انضم
د) انحرف",ب
انطعج,كلمة تشابه كلمة اركد او اهجد,Southern,"المهمة: اختر المعنى الصحيح لكلمة 'انطعج'.
السؤال: ما هو المعنى الصحيح لكلمة 'انطعج'؟
الخيارات:
أ) اركد
ب) اضرب
ج) اضحك
د) ادرس",أ
انطق,انطق ماخوذ من ينطق بمعني ينضرب و تذكر علي سبيل التهزي و التسكيت عندما تقابل شخص مزعج,Western,"المهمة: حدد المعنى الصحيح لكلمة 'انطق'.
السؤال: ما هو المعنى الصحيح لكلمة 'انطق' في الجملة الحجازية؟
الخيارات:
أ) ابدأ بالحديث
ب) اسكت الآن
ج) اذهب بعيدًا
د) تكلم بصوت مرتفع",أ
انطم,اخرس، توقف عن الحديث، تقال بغضب,Central,"المهمة: تحديد المعنى الصحيح لكلمة 'انطم'.
السؤال: ما هو معنى كلمة 'انطم'؟
الخيارات:
أ) توقف عن الحديث
ب) ابدأ في الحديث
ج) اضحك بصوت عالٍ
د) اذهب بعيداً",أ
انطي او انطيني,كلمة انطي وانطيت كلمه سعوديه شماليه من سكاكا وتتشابه مع باللهجه اللهجه العراقيه الفراتيه وقبائل بني حسن في الاردن,Northern,"المهمة: حدد المعنى الصحيح لكلمة 'انطي او انطيني'.
السؤال: ما معنى كلمة 'انطي او انطيني'؟
الخيارات:
أ) أعطني أو أقدم لك
ب) أرفض الطلب
ج) كلمة تعبر عن الشكر
د) كلمة تعني الانتظار",أ
انفهق,كلمة نجدية تقال بمعنى ابتعد او اغرب عن وجهي، ويقال ايضاً انقلع.,Central,"المهمة: حدد المعنى الصحيح للكلمة 'انفهق'.
السؤال: ما معنى كلمة 'انفهق' في اللهجة النجدية؟
الخيارات:
أ) اقرب إلي
ب) ابتعد أو اغرب عن وجهي
ج) توقف عن الكلام
د) ابدأ بالعمل",ب
انقز,اقفز,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'انقز'.
السؤال: ما هو المعنى الذي تعنيه كلمة 'انقز'؟
الخيارات:
أ) اقفز
ب) اجلس
ج) امش
د) استرخ",أ
انقشع,بالغالب تعني اغرب عن وجهي .ولاكن تأتي بمعنى رفع الغطاء او القشره .,Western,"المهمة: حدد المعنى الصحيح لكلمة 'انقشع'.
السؤال: ما هو المعنى الأكثر صحة لكلمة 'انقشع'؟
الخيارات:
أ) اختفى
ب) تسارعت
ج) ظهر
د) غطى",أ
انقلع,انقلع بمعنى : اذهب او اغرب عن وجهي او روح,General,"المهمة: حدد المعنى الصحيح لكلمة 'انقلع'.
السؤال: ما هو معنى كلمة 'انقلع'؟
الخيارات:
أ) اذهب أو اغرب عن وجهي
ب) اترك المكان
ج) استمر في الحديث
د) اذهب إلى المنزل",أ
انكتم,كلمة ( انكتم ) تعني ( اخرس او اسكت ) وهي كلمة حجازية معروفة في مكة وجدة والمدينة ،،,Western,"المهمة: اختر المعنى الصحيح لكلمة 'انكتم'.
السؤال: ماذا تعني كلمة 'انكتم'؟
الخيارات:
أ) اخرس أو اسكت
ب) تحدث بصوت عالٍ
ج) استمع بانتباه
د) تحدث مع الآخرين",أ
اهبد,الضرب بقوه في مكان ما في الجسد,Western,"المهمة: حدد المعنى الصحيح لكلمة 'اهبد'.
السؤال: ما هو المعنى الدقيق لكلمة 'اهبد'؟
الخيارات:
أ) الضرب بقوة في مكان ما في الجسد
ب) الاستراحة لفترة
ج) السقوط بشكل مفاجئ
د) الكتابة بسرعة",أ
اهبدك,كلمه جنوبيه تعني الضرب,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'اهبدك'.
السؤال: ما هو المعنى الدقيق لكلمة 'اهبدك'؟
الخيارات:
أ) كلمة تعني الضحك
ب) كلمة تعني الضرب
ج) كلمة تعني الجري
د) كلمة تعني الحزن",ب
اهجد,اي اترك المكابرة وارجع لواقعك,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'اهجد'.
السؤال: ما هو معنى كلمة 'اهجد'؟
الخيارات:
أ) اترك المكابرة وارجع لواقعك
ب) قم بالسعي وراء حلمك
ج) استمر في مجادلتك
د) ابدأ مشروع جديد",أ
اهرج,اتكلم,Western,"المهمة: اختر المعنى الصحيح لكلمة 'اهرج'.
السؤال: ما معنى كلمة 'اهرج'؟
الخيارات:
أ) اتحدث
ب) أكتب
ج) أستمع
د) أأكل",أ
اهلا,اهلا مرحبا,General,"المهمة: حدد المعنى الصحيح لكلمة 'اهلا'.
السؤال: ما هو معنى كلمة 'اهلا'؟
الخيارات:
أ) وداعا
ب) مرحبا
ج) إلى اللقاء
د) كيف الحال",ب
اهوفه,أعطني إيّاه/ عطنيّاه,Central,"المهمة: اختر المعنى الصحيح لكلمة 'اهوفه'.
السؤال: ما هو معنى كلمة 'اهوفه'؟
الخيارات:
أ) أعطني إيّاه
ب) خذ مني
ج) اتركه لي
د) افتح الباب",أ
اهوهه,اعطني,Western,"المهمة: حدد المعنى الصحيح لكلمة 'اهوهه' في اللهجة السعودية.
السؤال: ماذا تعني كلمة 'اهوهه'؟
الخيارات:
أ) اذهب
ب) اعطني
ج) اضحك
د) احضر
الإجابة الصحيحة:",
اوتاكو,المعنى الحرفي لها من اليابانية هو : منزلك. ولكنها مفهومه عند العامه على انها كلمه لوصف مهووسي الانمي والمانقا والشخصيات الكرتونية.,General,"المهمة: حدد المعنى الصحيح لكلمة 'اوتاكو'.
السؤال: ما هو المعنى الحرفي لكلمة 'اوتاكو'؟
الخيارات:
أ) منزل
ب) مهووس
ج) شخصية كرتونية
د) أنمي",أ
اوريك,لها معنيين - اُرِيك الشئ تهديد بالعقاب,Central,"المهمة: حدد المعنى الصحيح لكلمة 'اوريك'.
السؤال: ما معنى كلمة 'اوريك' في اللهجة الحجازية؟
الخيارات:
أ) عرض شيء جميل
ب) تهديد بالعقاب
ج) استعراض مهارة
د) التواصل مع الأصدقاء",ب
اولعنامسي,تقال هذي الكلمه لوصف ( اليوم الذي يسبق اليوم السابق ) أي قبل أمس وتستخدم هذه العباره بشده في المناطق الجنوبيه من المملكه .,Southern,"المهمة: تحديد المعنى الصحيح للكلمة.
السؤال: ماذا تعني كلمة 'اولعنامسي'؟
الخيارات:
أ) اليوم السابق
ب) اليوم الذي يسبق اليوم السابق
ج) اليوم التالي
د) الأسبوع الماضي",ب
اويلاه,اويلاه كلمة قصيمية تعني تكفى ولكن اؤكد لك % ان كل الاشخاص القصيمين لا يقولونها,Central,"المهمة: حدد المعنى الصحيح لكلمة 'اويلاه'.
السؤال: ماذا تعني كلمة 'اويلاه'؟
الخيارات:
أ) تعني مرحباً
ب) تعني تكفى
ج) تعني وداعاً
د) تعني كيف حالك",ب
اويلاو,"""اويلاو"" هي كلمه سعوديه قصيميه و تعني ""تكفى"" او باللغه العربيه الفصيحه ""ارجوك"" (مسويه سعوديه و انا و ويهي هه)",General,"المهمة: اختر المعنى الصحيح لكلمة 'اويلاو'.
السؤال: ما معنى كلمة 'اويلاو' في اللهجة السعودية؟
الخيارات:
أ) تكفى
ب) لا أتذكر
ج) وداعا
د) إذهب",أ
ايتَهَنْوَصْ,مع اهمال نطق الألف: تقال لمن يتصنّع الدلع,Central,"المهمة: حدد المعنى الصحيح لكلمة 'ايتَهَنْوَصْ'.
السؤال: ما معنى كلمة 'ايتَهَنْوَصْ'؟
الخيارات:
أ) التصنع في الكلام
ب) الخجل
ج) الفخر
د) السخرية",أ
ايذاني,كلمة جنوبية تعني أنا هنا,Southern,"المهمة: حدد معنى كلمة 'ايذاني'.
السؤال: ما هو معنى كلمة 'ايذاني'؟
الخيارات:
أ) تعني أنا هنا
ب) تعني وداعاً
ج) تعني أين أنت؟
د) تعني كيف حالك؟",أ
دحديرة, بمعنى نزلة او منحدر,Western,"المهمة: حدد المعنى الصحيح للكلمة 'دحديرة'.
السؤال: ماذا تعني كلمة دحديرة في اللهجة السعودية؟
الخيارات:
أ) صعود أو مرتفع
ب) نزلة أو منحدر
ج) طريق مستقيم
د) منعطف خطير",ب
باتسر,غدا,General,"المهمة: اختر المعنى الصحيح لكلمة 'باتسر'.
السؤال: ما هو معنى كلمة 'باتسر' في اللهجة السعودية؟
الخيارات:
أ) اليوم
ب) غدا
ج) الآن
د) أمس",ب
باديه,"باديه: هي إناء مقعر الشكل ومجوفه من الداخل، توضع بها الشوربة. ومن مرادفاتها بالفصحى ""زبدية"".",General,"المهمة: حدد المعنى الصحيح لكلمة 'باديه'.
السؤال: ما هو المعنى الصحيح لكلمة 'باديه'؟
الخيارات:
أ) إناء مقعر الشكل تُوضع فيه الشوربة
ب) نوع من أنواع الملابس
ج) نوع من الأطعمة
د) مدينة سعودية",أ
بار,البار هو حبوب لقاح النخيل,Western,"المهمة: حدد المعنى الصحيح لكلمة 'بار'.
السؤال: ما هو المعنى الصحيح لكلمة 'بار'؟
الخيارات:
أ) مكان لتناول المشروبات الكحولية
ب) حبوب لقاح النخيل
ج) مطعم مشاوي
د) ساحة للاحتفالات",ب
باعوص,باعوص: يعني خربت او لخبط في شيء,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'باعوص'.
السؤال: ما معنى كلمة 'باعوص'؟
الخيارات:
أ) هدم شيء
ب) خربت أو لخبط في شيء
ج) أصلح أمر
د) انتبه لشيء",ب
باغة,الباغة هي كيس النايلون,Southern,"المهمة: قم بتحديد المعنى الصحيح لكلمة 'باغة'.
السؤال: ما هو المعنى الصحيح لكلمة 'باغة' في اللهجة السعودية؟
الخيارات:
أ) كيس النايلون
ب) نوع من الفاكهة
ج) نوع من الحلويات
د) نوع من الملابس",أ
باقه,"""الباقه"": تطلق على الكيس الذي تُحفظ فيه الأشياء كما يُطلق على قوارير المياه الصغيرة والكبيرة إذا كانت مصنوعة من البلاستيك ويُشتهر هذا اللفظ في المنطقة الشرقية بالسعودية . ",Eastern,"المهمة: حدد المعنى الصحيح لكلمة 'باقه'.
السؤال: ما هو المعنى الصحيح لكلمة 'باقه' في اللهجة السعودية؟
الخيارات:
أ) حديقة مليئة بالزهور
ب) كيس أو قوارير لحفظ الأشياء
ج) منطقة للتجمع
د) نوع من الطعام",ب
باكورة,هي العصا وتكون غالبا من الخيزران وتكون لضرب الاطفال .,Western,"المهمة: حدد المعنى الصحيح لكلمة 'باكورة'.
السؤال: ما هو المعنى الدقيق لكلمة 'باكورة'؟
الخيارات:
أ) عصا تستخدم لضرب الأطفال
ب) نبات شجري
ج) نوع من الأقمشة
د) كائن بحرية",أ
بالحصين أو أبا الحصين,وتعني الثعلب,Central,"المهمة: اختر المعنى الصحيح لكلمة 'أبا الحصين'.
السؤال: ما هو المعنى الصحيح لكلمة 'أبا الحصين'؟
الخيارات:
أ) الثعلب
ب) الأرنب
ج) الطائر
د) السمكة",أ
بالطقاق,بدون تشديد القاف، بالطقاق أي بكل صعوبة.,Central,"المهمة: حدد المعنى الصحيح لكلمة 'بالطقاق'.
السؤال: كيف يمكنك تفسير الكلمة 'بالطقاق'؟
الخيارات:
أ) بسهولة
ب) وعبر تساهل
ج) بكل صعوبة
د) بسرعة",ج
بالوعة,بالوعة تطلق على الشخص الذي يأخذ كثيرآ ولا يشبع,Western,"المهمة: اختر المعنى الصحيح لكلمة 'بالوعة'.
السؤال: ما هو المعنى الصحيح لكلمة 'بالوعة'?
الخيارات:
أ) شخص يتظاهر بالجوع
ب) شخص يأخذ كثيراً ولا يشبع
ج) شخص يحب الطعام
د) شخص يفرط في الأكل",ب
بايت,صفة للطعام الذي مضت مدة عليه و أصبح غير طازج,General,"المهمة: حدد المعنى الصحيح لكلمة 'بايت' في اللهجة السعودية.
السؤال: ما هو المعنى المناسب لكلمة 'بايت'؟
الخيارات:
أ) طازج
ب) قديم
ج) حار
د) مالح",ب
بايج,تطلق على الشخص السخيف، المتذاكي، المتحذلق.,Western,"المهمة: اختر المعنى الصحيح لكلمة 'بايج'.
السؤال: ما هو المعنى الصحيح لكلمة 'بايج'؟
الخيارات:
أ) شخص سخيف ومتحذلق
ب) شخص ذكي جدًا
ج) شخص شجاع
د) شخص كسول",أ
بايخ,تطلق على الشيء الرديء جدا,Central,"المهمة: حدد المعنى الصحيح لكلمة 'بايخ'.
السؤال: ماذا تعني كلمة 'بايخ'؟
الخيارات:
أ) شيء جميل جدا
ب) شيء متوسط
ج) شيء رديء جدا
د) شيء رائع",ج
بكلة,ربطة الشعر,Southern,"المهمة: اختر المعنى الصحيح لكلمة 'بكلة'.
السؤال: ما معنى كلمة 'بكلة'?
الخيارات:
أ) ربطة الشعر
ب) عقدة
ج) رداء
د) زينة",أ
