Term,Meaning_of_term,Dialect type,Fill_in_Blank_question,correct_answer
تسبدي,تقال للشخص الاخر لوصف اعلى درجات المحبة وتعني : الكبد,Central,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: العبارة المستخدمة في وصف أعلى درجات المحبة هي '______'.
الخيارات:
أ) شجاع
ب) تسبدي
ج) عتاب
د) قاسي",ب
احلف تستهبل؟,"كلمة تستخدم للتعبير عن الشعور بالدهشة والاستنكار. (درجت بشكل كبير بين فئة الشباب خلال السنوات القليلة الماضية) قد تستخدم أيضا بشكل تهكمي، للتأكيد على ""نقطة واضحة"" يحاول الطرف المقابل الاسترسال بشرحها على الرغم من وضوحها.",General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما أخبرتهم أنني حصلت على درجة منخفضة، ردوا '________؟' كما كانوا مصدومين.
الخيارات:
أ) تضحك
ب) تستهبل
ج) تصرخ
د) تفرح",ب
هلا بالطش والرش,عبارة ترحيبية,Central,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي ترحيبي).
السؤال: لما وصلوا الضيوف، قال لهم صاحب البيت: ____
الخيارات:
أ) هلا بالطش والرش
ب) اندر بره
ج) زبد له
د) سامج",أ
تسوق امها يافقي,هل تستهبل علي ايه الغبي؟,Western,"المهمة: اكمل الفراغ في الجملة التالية.
السؤال: عبارة 'تسوق امها يافقي' تعني _____ الغبي؟
الخيارات:
أ) هل تستهبل علي
ب) هل تحبني
ج) أين أنت
د) لماذا تأخرت",أ
فيان شتروح,تعني إين ستذهب باللهجه الجيزانية,Southern,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي – جيزاني).
السؤال: لما شافه متجه للباب، سأله: ____؟
الخيارات:
أ) فيان شتروح
ب) اندر بره
ج) سامج
د) زبد له",أ
تكانه,والتكانه هو الشخص الذي يعتمد عليه,Eastern,"### نوع السؤال: املأ الفراغ
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية.
السؤال: الشخص الذي يوصف بأنه ""تكانه"" يكون عادةً .
الخيارات: 
A) غير موثوق 
B) يعتمد عليه 
C) عابر 
D) ضعيف",B
تكرنت معي,يعني عصبت و اخلاقي قفلت,Western,"المهمة: أكمل الجملة بالعبارة الصحيحة.
السؤال: عندما أغضبتني، ______ معي.
الخيارات:
أ) تكرنت
ب) ابتسمت
ج) ناديت
د) تراجعت",أ
أكل ومرعى وقلة صنعه,وصف حال الكسلان البليد,Western,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: يستخدم التعبير 'أكل ومرعى وقلة صنعه' لوصف الأشخاص الذين ___ .
الخيارات:
أ) يعملون بجد
ب) يتمتعون بالكسل
ج) يسعون لتحقيق الأهداف
د) يهتمون بالزراعة",ب
هيا طير,اقلب وجهك,Western,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: إذا خلص الموضوع وما عاد لك حاجة هنا، ____ .
الخيارات:
أ) هيا طير
ب) عطنا الزبدة
ج) على خشمي
د) لا هنت",أ
ياكثر هذرُه,كلامه كثير,Central,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: فلان ما يوقف، ______ وما يعطي غيره فرصة يتكلم.
الخيارات:
أ) ياكثر هذرُه
ب) بلا بكش
ج) زودها
د) فزعة",أ
تهقى,تظن .,Central,"المهمة: أكمل الجملة بكلمة 'تهقى'.
السؤال: لو سألتك عن توقعاتك، هل .... أنه سيتحقق؟
الخيارات:
أ) أقول
ب) تهقى
ج) تنظر
د) تراك",ب
توتو على كبوتو,كل شي بثمنه ( ماديا ),Western,"المهمة: أكمل الجملة التالية بالعبارة المناسبة.
السؤال: عندما نريد أن نقول أن كل شيء له ثمن نقول: '______ على كبوتو'.
الخيارات:
أ) البقر
ب) توتو
ج) الجمل
د) الطير",ب
توق غادي,انظر هناك,Western,"المهمة: املأ الفراغ في الجملة التالية باستخدام العبارة 'توق غادي'.
السؤال: عندما تريد أن تشير إلى مكان، يمكنك أن تقول: '______'.
الخيارات:
أ) توق غادي
ب) يلا بسرعة
ج) وين الطعس
د) شوف ذا",أ
توكل على الله,بعض الاحيان تأتي بمعنى الرفض يعني اذهب وبمعنى طلب الفراق,General,"المهمة: أكمل الجملة بعبارة مناسبة.
السؤال: عندما أقول لأصدقائي '_____ على الله'، أعني أنهم يحوزون لدعمي.
الخيارات:
أ) تكل
ب) توكل
ج) اعتمد
د) أثق",ب
آزى / آزت,بمعنى كفى وسد الحاجة او كفت,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا كانت الحاجة مشبعة نقول إنها _____ .
الخيارات:
أ) آزى
ب) معوزة
ج) مستمرة
د) مناسبة",أ
تيجي معي,اذهب معي,Central,"### نوع السؤال: املأ الفراغ
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: ""في الجملة _ تيجي معي_، تعني أن الشخص يدعو الآخر للذهاب ."" 
الخيارات: 
A) بعيدًا 
B) معه 
C) وحده 
D) إلى المدرسة",B
جاعص,تعني الشخص الصَّلِف ؛ المتكبر المتعجرف.,Western,"المهمة: إملأ الفراغ بالكلمة المناسبة.
السؤال: 'ورع لا تجعص علينا' تعني بأن الشخص لا يكون _____ فوق ما هو عليه.
الخيارات:
أ) متكبر
ب) كريم
ج) مخلص
د) بسيط",أ
جاك العلم,"يتخدم مصطلح "" جاك العلم "" للدلاله على ايصال معلومة ما أو خبر هام واخلاء مسئولية قائلها من اي تبعات اخرى تترتب على عدم اتباع ما ورد في الخبر او المعلومة.",General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يستخدم تعبير 'جاك العلم' للدلالة على ________.
الخيارات:
أ) إخفاء المعلومات
ب) إبلاغ شخص بمعلومات
ج) تقديم اعتذار
د) عدم تقديم معلومات",ب
جبتلي الصمرقع,الصمرقع عبارة عن مرض يصيب الإنسان و تنتج عنه حالة من الجنون. و معنى جبتلّي الصمرقع: قد أصبتني بالجنون.,Southern,"المهمة: املأ الفراغ في العبارة التالية.
السؤال: عندما قال لي صديقي 'جبتلي الصمرقع'، كان يقصد أنه قد _____.
الخيارات:
أ) أصابني بالجنون
ب) أعطاني موعد
ج) زارني في المنزل
د) ذكرني بشيء",أ
جحفلك جحفله قوية,قلب الطاولة في اللحظات الأخيرة,Western,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: بعد ما كان كل شيء ضدّه، ______ في اللحظات الأخيرة.
الخيارات:
أ) جحفله جحفله قوية
ب) لا هنت
ج) عطنا الزبدة
د) على خشمي",أ
بدري عليك,"التحدي والاستصغار مثال إذا قال لك شخص: ""بهزمك في اللعبة""، ترد عليه: ""بدري عليك!""",General,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: قال إنه بيهزمك، رديت عليه: ""_____!""
الخيارات:
أ) لا هنت
ب) بدري عليك
ج) ما عليك زود
د) عطنا الزبدة",ب
جد الله عليك,جد الله عليك كثر الله خيرك ع العزمه,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: العبارة 'جد الله عليك' تُستخدم عادةً للتعبير عن ______.
الخيارات:
أ) الشكر
ب) الاعتذار
ج) الحزن
د) الفرح",أ
جدة كذا إتي وبحر,عبارة تطلق لكبير جدة الإتحاد . (إتي) إختصار لكلمة الإتحاد,Western,"### نوع السؤال: املأ الفراغ
المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.
السؤال: ""جدة كذا إتي وبحر"" تعني أن نادي هو الأفضل في جدة.
الخيارات: 
A) الطحالب 
B) الهلال 
C) الأهلي 
D) الاتحاد 
الجواب الصحيح: D (الاتحاد)",
جدة كذا اهلي وبحر .,جدة كذا اهلي وبحر معناها ان نادي الحجاز هو الاهلي,Western,"المهمة: املأ الفراغ بالعبارة الصحيحة.
السؤال: العبارة 'جدة كذا اهلي وبحر' تشير إلى أن __________.
الخيارات:
أ) جدة مدينة صغيرة.
ب) جدة كانت من اهتمام الرياضيين.
ج) جدة تحوي نادي حجازي كبير.
د) جدة مشهورة بالأسماك.",ج
جعلك السلطة,تعني بأن يبتليك الله بمصيبة، تشغلك عن أذيتي,Northern,"المهمة: أكمل الجملة التالية.
السؤال: عبارة 'جعلك السلطة' تعني بأن يبتليك الله بمصيبة تشغلك عن __________.
الخيارات:
أ) أذيتي
ب) صحتك
ج) أصدقائك
د) عملك",أ
جعلنا ما نطرك,دعاء ان لا يصل بنا الحال الى ان نطرّك (نتشحذ منك). تقال لمن تطلب منه شي ويقدم لك القليل رغم قدرته على ان يعطيك اكثر. مثال: طلبت من ابنك يأتي لك بكأس ماء، الابن عبأ ربع الكأس بالماء فقط هنا تقول له جعلنا ما نطرك يا ولدي ليش ما عبيت الكأس كامل,Eastern,"المهمة: أكمل الفراغ بما يناسب.
السؤال: تستخدم العبارة 'جعلنا ما نطرك' عندما:
الخيارات:
أ) يحتاج الشخص إلى الدعم
ب) يطلب شخص ما القليل رغم القدرة على العطاء
ج) يرفض الشخص المساعدة
د) يمنح الشخص الكثير",ب
جيف الباب,كلمة حجازية وتعني أجعل الباب قريب الإغلاق لكن لا تغلقه تماما أترك مسافة بسيطة,Western,"المهمة: أكمل الجملة بما يناسب.
السؤال: عندما تقول 'جيف الباب' فهذا يعني ______.
الخيارات:
أ) اضرب الباب
ب) اترك مسافة بسيطة عند الإغلاق
ج) افتح الباب
د) اغلق الباب نهائياً",ب
محزم المليان,و هو الشخص الذي تحتزمون به او صديقكم الذي يكون معكم في المصاعب حازم محزم احتزم محزمي الخ,Southern,"المهمة: أكمل الجملة بالكلمة الصحيحة.
السؤال: الشخص ______ يعتبر محزم المليان في المواقف الصعبة.
الخيارات:
أ) المتهور
ب) القوي
ج) الطيب
د) الضعيف",ب
حام التسبد,حام التسبد: تعني اقرف أو ازعج، أو ضجر أو سئم! ملاحظة: التسبد تعني الكبد. فأهل نجد ينطقون الكاف ب(تس). الكبد = التسبد,Central,"المهمة: أكمل الفراغ بالكلمة الصحيحة.
السؤال: عندما أقول 'حام التسبد'، فهذا يعني أنني ___ .
الخيارات:
أ) فرحان
ب) ضجران
ج) مرتاح
د) جوعان",ب
حامت كبدي,"وهي عبارة يقصد فيها التعبير عن الشعور بالضيق من أمر ما أو كلام ما، وقد تعني التقزز. هي مشهورة في نجد في السعودية، وأيضا معروفة ب ""حامت تسبدي"" هناك صيغ أخرى لهذه العبارة: حامت كبدي / حامت تسبدي يحوم الكبد / يحوم التسبد",Central,"المهمة: إكمال الجملة بشكل صحيح باستخدام الكلمة المناسبة.
السؤال: عندما أخبرني عن خبر سيء، شعرت أن _______.
الخيارات:
أ) حامت كبدي
ب) أحببت الأمر
ج) كنت مسرورًا
د) استمتعت",أ
فرقاك عيد,تعني الذي وجوده مصدر إزعاج أو ضيق ، وأن غيابه أو رحيله (فراقه) هو بمثابة مناسبة سعيدة أو يوم عيد,General,"المهمة: أكمل الجملة التالية.
السؤال: طول الوقت وهو يزعجنا، بصراحة إذا ما جا __________
الخيارات:
أ) فرقاه عيد
ب) نحبه كثير
ج) زعلت عليه
د) وينه تأخر",أ
حتى الميت فسى,تُقال عند تمثيل برجل انه بارد .,Western,"المهمة: أكمل الجملة بالعبارة الصحيحة.
السؤال: تُستخدم عبارة 'حتى الميت فسى' عند تمثيل برجل أنه ______.
الخيارات:
أ) بارد
ب) نشيط
ج) طيب
د) غاضب",أ
ضف وجهك,يعني . ابتعد عني . اغرب عن وجهي .,General,"المهمة: أكمل الجملة بالتعبير المناسب.
السؤال: عندما أقول لمحمود 'ضف وجهك'، فأنا أقول له __________.
الخيارات:
أ) اجلس أمامي
ب) ابتعد عني
ج) اذهب إلى السوق
د) تعال معي",ب
حج البقرة على قرونها,من باب تعليق الأمر بالمحال : - حتى / لمّا تحج البقرة على قرونها - لو / إذا حجت البقرة على قرونها يُنظر في كي ينوّر الملح.,General,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: ""يستخدم الناس عبارة 'حج البقرة على قرونها' للدلالة على "". 
الخيارات: 
A) الشجاعة 
B) المستحيلات 
C) الفرح 
D) النجاح",B
رح اديلو,سوف اعطيه,Western,"المهمة: إكمال الجملة باختيار العبارة الصحيحة.
السؤال: أريد أن أقول لأخي: '_______ الواد دا الكتاب دحين وبعدين نتفاهم'.
الخيارات:
أ) رح اديلو
ب) أشيله
ج) أعطيه
د) أشتريه",أ
حُق حُق,تستخدم إذا أردت أن تستعير شيئا من أحد وأجابك ب: لا، حقي!,Western,"المهمة: أكمل الجملة بالعبارة الصحيحة.
السؤال: إذا طلبت شيئًا من شخص ورفض قائلاً: 'حقي'، يمكنك الرد بعبارة ______.
الخيارات:
أ) لا يهم
ب) حق حق
ج) الله يوفقك
د) اتفضل",ب
حُق صلصة,تدل على المكان الضيق جدا,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: المكان الذي يُشار إليه بعبارة 'حُق صلصة' هو _____.
الخيارات:
أ) واسع جدًا
ب) ضيق جدًا
ج) ذو شرفتين
د) مرتفع",ب
حمار خالو,عندما يكون الشخص يتحرش بشخص قوي لايستطيع أن يجابهه فيتكلم معه باستفزاز حتى يتنرفز,Western,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: عندما يتحدث شخص ما مع ____ باستخدام عبارة 'حمار خالو'، فإنه يسعى لاستفزازه.
الخيارات:
أ) صديقه
ب) شخص ضعيف
ج) شخص قوي
د) شخص غريب",ج
حياك الله,عبارة ترحيب,General,"المهمة: أكمل الفراغ بما يناسب.
السؤال: لما أقول 'حياك الله'، أعني _______.
الخيارات:
أ) أراك لاحقاً
ب) كيف حالك
ج) إلى اللقاء
د) أشعر بالسعادة",ب
حيلهم بينهم,"حِيلهم بِينهم ، عبارة تعني ان مشاكلهم بينهم نظراً لتشاركهم في قوة مشتركة ""حيل"" فتكبّدها سيكون بينهم ايضاً",General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: تستخدم العبارة 'حيلهم بينهم' للإشارة إلى أن ___ (مشاكلهم/نجاحهم) تتعلق ببعضهم البعض.
الخيارات:
أ) مشاكلهم
ب) نجاحهم
ج) صداقتهم
د) انتصاراتهم",أ
خاربة خاربة,تقال وقت المأساة وعدم المبالاة وتعني إذا الموضوع فقد الأمل منه إذاً ليس علي أن اهتم أو أعمل شيء لأن الموضوع سوف يكون معدوم بوجود أو بعدم وجود مجهودي.,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عبارة 'خاربة خاربة' تعني أنه لا يجب على الشخص الاهتمام لأنه __________.
الخيارات:
أ) سيكون كل شيء جيدًا
ب) الموضوع فقد الأمل منه
ج) يسير على ما يرام
د) يحقق النجاح",ب
خاز باز,الخاز باز هذا غير المعروف في الفصحي.هذا في العاميه يعني ((الاشكالات السرية بين شخصين لا يستطيعان الكشف عنها للاخرين )) هذا تقريبي ومختصر والله اعلم,Western,"المهمة: املأ الفراغ بالمصطلح المناسب.
السؤال: يتم استخدام مصطلح '______' للإشارة إلى الإشكالات السرية بين شخصين.
الخيارات:
أ) خاز باز
ب) حديث عابر
ج) مسألة عائلية
د) صداقة متينة",أ
خِبْت عليك,تقال عند الاصابة بالإحباط عند عدم تحقيق هدف معيّن أو الخطأ في عمل أمر سهل.,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما لم أنجح في المشروع، قلت لنفسي: '_____ عليك'.
الخيارات:
أ) خبت
ب) فرحت
ج) تفوقت
د) استمتعت",أ
خراط مشمش,الكاذب,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يُستخدم مصطلح 'خراط مشمش' لوصف شخص ____.
الخيارات:
أ) كاذب
ب) مخادع
ج) طيب
د) حكيم",أ
ريحه عطبة,هي مفردة حساويه وتعني ربحه النايلون عندما يحترق مثل اسلاك كهربائية,Eastern,"المهمة: قم بملء الفراغ بالكلمة المناسبة (مفردة لهجية حساوية).
السؤال: فجأة طلعت ____ في الغرفة وكأن في شي نايلون احترق.
الخيارات:
أ) ريحة عطبة
ب) فزعة
ج) سامج
د) زبد له",أ
خِرِّي مِرِّي,بمعنى ذاهب وعائد وتطلق على من كثرت تحركاته وانتقالاته.,Western,"المهمة: أكمل الجملة التالية.
السؤال: عندما أحتاج إلى شراء شيء، أقول لزوجتي: 'خِرِّي _____ مِرِّي'.
الخيارات:
أ) عاجل
ب) خنفساء
ج) جولي
د) مري",أ
زكن عليه,اكدعليه,Central,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: ما كان راضي، فاضطريت ______ عشان يوافق.
الخيارات:
أ) أشره عليه
ب) أزكن عليه
ج) أمدحه
د) أتجاهله",ب
طول حسي,طول صوتي فلان تهاوش طول حسه طول صوته,Northern,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: ________ انت المأذون اللى عم جدوروا عليه.
الخيارات:
أ) خلك
ب) اترك
ج) ابحث
د) اذهب",أ
خندريس,تقال للشخص الخبيث,Central,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: يُقال للشخص الخبيث '_________'.
الخيارات:
أ) بطل
ب) خندريس
ج) محبوب
د) عزيز",ب
خيطي بيطي,الشيء الذي لا معنى له يقال له خيطي بيطي,Western,"المهمة: أكمل الجملة التالية بالكلمة المناسبة.
السؤال: يستخدم الناس عبارة 'خيطي بيطي' عندما يتحدثون عن ______.
الخيارات:
أ) شيء مهم
ب) شيء عادي
ج) شيء غير مهم
د) شيء جديد",ج
اشرب بشويش,اشرب ببطئ,Southern,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: لا تستعجل، ____ ترى المشروب حار.
الخيارات:
أ) اشرب بشويش
ب) اندر بره
ج) زبد له
د) سامج",أ
قلبت كبدي, أضجرتني ورفعت ضغطي,Southern,"المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: العبارة ""قلبت كبدي"" تعني __________: . 
الخيارات: 
A) أسعدتني 
B) أضجرتني 
C) أذهلتني 
D) أحزنتني",B
دبو جف نحرك,يعني الجن يدخلون في حلقك,Southern,"### نوع السؤال: املأ الفراغ
- المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية.
- السؤال: عبارة ""دبو جف نحرك"" تعني يدخلون في حلقك. 
- الخيارات: 
 A) الملائكة 
 B) الجن 
 C) البشر 
 D) الطيور 
-",B
دجاجةٍ صقعه,اختلف في اصل الكلمة لكن تتداول بين أهل نجد للإشارة إلى غباء أحدهم.,Central,"المهمة: أكمل الجملة بالمصطلح المناسب.
السؤال: إذا كان أحدهم غبيًا نقول عنه أنه __________.
الخيارات:
أ) متميز
ب) دجاجةٍ صقعه
ج) مجتهد
د) ذكي",ب
أقلزز,ويعني انا افهم,Central,"المهمة: أكمل الجملة بالمعنى المناسب.
السؤال: إذا قال أحدهم 'أنا أقلزز', فهذا يعني أنه __________.
الخيارات:
أ) لا يعرف
ب) يتعلم
ج) يفهم
د) يسأل",ج
عاش من شافك,يعيش من رآك,Central,"المهمة: أكمل الجملة التالية:
السؤال: ____ من شافك.
الخيارات:
أ) عاش
ب) مات
ج) أتى
د) غاب",أ
أًفْلِح,أًفْلِح : أي بمعنى سوف أذهب .!,Central,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: عندما أريد الذهاب أقول 'أًفْلِح __'.
الخيارات:
أ) للبيت
ب) للعمل
ج) للمدرسة
د) للسوق",أ
دخلو في شدقك,هي كلمه تقال للدعاء على أحد ما بدخول الجن في فمه,Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: تستخدم عبارة 'دخلو في شدقك' كنوع من ______ على الآخرين.
الخيارات:
أ) دعاء
ب) مدح
ج) تحية
د) تهنئة",أ
دخلوا في نحرك,"((دخلو في نحرك)). كلمة جنووبيةة بمعنى:فليدخلوا في نحرك بعضُ من الجن وتستخدم عند الغضب من الشخص ||كمثل إستخدام || ""سبعة شلوك"" وإسم الإشارة للغائب: دخلووا في نحره وهناك من يضيف عليها بعض الكلمات مثل ((دخلو في نحرك برجلي)) أو برجل فلان وفلان.",Southern,"المهمة: استخدم الكلمة المناسبة لملء الفراغ.
السؤال: عندما يغضب الشخص يقول 'دخلوا في ____'.
الخيارات:
أ) جسدي
ب) نحرك
ج) قلبي
د) سمعي",ب
عاقد النونه,عاقد النونه : الشخص الذي يقرب حاجبيه الى بعض تعبيراً عن الزعل,Central,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: شخص يُظهر زعله يُقال عنه إنه __________.
الخيارات:
أ) مبتسم
ب) عاقد النونه
ج) فرحان
د) مشغول",ب
أنت درو,يعني غبي,Central,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: فلان __________.
الخيارات:
أ) ذكي
ب) أنت درو
ج) شجاع
د) قوي",ب
دروإييت,خذ دوره وارجع الينا,Central,"المهمة: أكمل الجملة التالية باستخدام المصطلح المناسب.
السؤال: عند طلب المساعدة، يقول السعودي: '____ ياوليدي وانكس علينا'.
الخيارات:
أ) ودك
ب) دروإييت
ج) اركض
د) اجلس",ب
دفه,ادفعه,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا كنت تريد التحرك بالسيارة، يجب عليك ______ السيارة.
الخيارات:
أ) أدفع
ب) أترك
ج) أحمل
د) أدور",أ
دق الولد,"والبعض يقول ""ولِّد"" وهي طريقة عادلة لتحديد من سيقوم باللعب في لعبة البلوت الشعبية وذلك عن طريق توزيع الورق مكشوفاً امام الجميع ما بين الشخصين المراد الاختيار ما بينهما(او اكثر ) والشخص الذي يظهر له اول ولد اوJack يكون له الاحقية باللعب .",General,"المهمة: إكمال الجملة باستخدام المصطلح الصحيح.
السؤال: في لعبة البلوت، يتم __________ لاختيار من سيبدأ اللعب.
الخيارات:
أ) دق الولد
ب) رمي النرد
ج) توزيع الورق
د) اتباع القرعة",أ
علام دينك,كلمة تقال في منطقة تبوك بمعنى ماذا بك؟ اخبرني ماذا بك؟ هل انت على ما يرام؟ وهي تأتي كأسلوب وقح، مثلًا شخص صدم سيارتك تخرج من سيارتك و تقول: علام دينك! أو: علام دين دين دينك!,Northern,"المهمة: أكمل الجملة المناسبة.
السؤال: عندما صدمت سيارة شخصاً، قال له: '_______'!
الخيارات:
أ) أين مشكلتك؟
ب) علام دينك!
ج) ماذا تفعل هنا؟
د) عليكم السلام!",ب
دلك النحاس,"دلك من التدليك النحاس وهو الصحون و الاواني المطبخية فزمان كان الاواني من نحاس, فبعد الاستعمال من الاكل و الطبيخ نقول: دلك النحاس, بمعنى اغسل الصحون وما الى ذلك من الاواني المطبخية",Western,"المهمة: أكمل الجملة التالية.
السؤال: بعد أن أخلصت طبيخ، يجب أن _____ النحاس.
الخيارات:
أ) أكتشف
ب) أدلك
ج) أضع
د) أستخدم",ب
دمه ثقيل,كناية عن الشخص الثقيل الظل الذي لا يُرغب فيه ،,Central,"المهمة: أكمل الجملة التالية.
السؤال: عندما دعا محمد خالد إلى الحفلة، قال له '_______'.
الخيارات:
أ) أنت مليح
ب) دمه ثقيل
ج) ما يصير
د) أنت مسلي",ب
يلا نطلع كِشْتة,يلا نطلع نزهه او طلعه او تخييم,General,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: نهاية الأسبوع فاضية، ____ ونغير جو.
الخيارات:
أ) يلا نطلع كِشْتة
ب) اندر بره
ج) زبد له
د) سامج",أ
دواء غسيل,مصطلح دارج في الحجاز من أجل وصف منظفات الكلور المستخدمة في الغسيل (مثال: كلوركس),Western,"المهمة: أكمل الفراغ بما يناسب.
السؤال: عندما تواجه بقعة صعبة، يمكن استخدام _________ لإزالتها.
الخيارات:
أ) صابون عادي
ب) دواء غسيل
ج) ماء
د) شامبو",ب
دوخلتي حجي بي,أنشودة تراثية تقال في مهرجان الدوخلة بالشرقية ، دائماً يقولها الأطفال طيلة أيام المهرجان ، ولقيت الأنشودة إعجاباً من زوار المهرجان مما دفع المنشد صالح المؤمن إلى إنشادها .,Eastern,"المهمة: أكمل العبارة التالية.
السؤال: دوخلتي حجي بي، ليمن يجي _____.
الخيارات:
أ) حبيبي
ب) أصدقائي
ج) جدي
د) أبناء العائلة",أ
شرواك الطيب,كلمة شكر على حديث مفتوح، عندما يُقال إن فلان شرواك بالخير، أي يشبهك في عمل الخير، فيرد الشّخص شاكرًا له شرواك الطيب.,General,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: قال لك شخص: ""أنت من أهل الخير""، فترد عليه: ""_____"".
الخيارات:
أ) عطنا الزبدة
ب) بدري عليك
ج) شرواك الطيب
د) بلا بكش",ج
ولد العكاريت,ولد العكاريت تقال للمراهق المتمرّد على أهله ، وأظنها من العفاريت أو من عكر : ذكر ابن دريد : تعاكر القوم: اختلطوا في خصومةٍ أو نَحْوها. أو المعكرين صفو شيء ما فهو ابنهم,Central,"### نوع السؤال: املأ الفراغ
المهمة: اختر فقط إجابة واحدة دون أية ملاحظات.
السؤال: تكمل الجملة التالية: ""عندما يتحدث والدي عن شبابي، يقول دائماً: آه يا العكاريت."" 
الخيارات: 
A) ولد 
B) بنت 
C) صديق 
D) جيران",A
راس كلب,عندما ييقابل شخص أحد أصدقائه ولم يره منذ زمن فأول كلمة يقولها له (رأس كلب),Western,"المهمة: أكمل الجملة باستخدام المصطلح 'راس كلب'.
السؤال: عندما رأى علي صديقه بعد مدة طويلة، قال له: '_____ وينك من زمان'.
الخيارات:
أ) رأس كلب
ب) كيف الحال
ج) تعال هنا
د) الله يسلمك",أ
أبلشتنا,من الإزعاج و تكرار استخدام نفس الأشياء,Central,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: البراء يقول دائماً نفس العبارات، وهذا __________نا.
الخيارات:
أ) أبلش
ب) يشجع
ج) يحب
د) يرحب",أ
رايق رايق,يعني بالرااحة وبكل سهوولة.,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يقول هشام 'أنا اليوم _________ بعد المباراة.'
الخيارات:
أ) رايق رايق
ب) ضغوط
ج) مشغول
د) متعب",أ
بلا بكش, بلا كذب,Western,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: ______، ما كنت أعرف بالموضوع أبدًا.
الخيارات:
أ) بلا بكش
ب) زودها
ج) فزعة
د) سامج",أ
رجعنا على طير يلي,تقال عند رجوع المخاطَب الى عادة (سلبية) قد تركها منذ فترة، بنبرة استفهامية تعجبية.,Central,"المهمة: أكمل العبارة التالية.
السؤال: عندما رأى محمود صديقه يأكل الحلويات بعد أن تركها، قال له: '_____ على طير يلي؟'
الخيارات:
أ) رجعنا
ب) ابتعدنا
ج) انسينا
د) جربنا",أ
أزرد ,هي كلمة قديمة من بادية الحجاز أزرد أو أزرده بمعنى أخنق أو أخنقه والمشابه لها أداة قطع الكهرباء الزرادية,Western,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: ولدك ___ ولدي يعني ولدك خنق ولدي.
الخيارات:
أ) زرد
ب) مزرود
ج) صرخ
د) حزن",أ
رحم الله والديك,رحم الله والديك : دعاء يستخدم بكثرة عند الحساوية (الاحسائين : نسبة الى الأحساء) للشخص الذي يصنع معروفا للطرف الاخر,Eastern,"المهمة: أكمل الجملة باستخدام العبارة المناسبة.
السؤال: عندما يساعدني أحد، أقول له: ______.
الخيارات:
أ) جزاك الله خيرًا
ب) رحم الله والديك
ج) شكرًا لك
د) الله يسلمك",ب
