Term,Meaning_of_term,Dialect type,Contextual_Usage_question,correct_answer
تبطي عظم,تعني من المستحيل ان تفعل هذا الشيء,General,"المهمة: اختر السياق المناسب لاستخدام عبارة 'تبطي عظم'.
السؤال: في أي موقف يمكن استخدام عبارة 'تبطي عظم'؟
الخيارات:
أ) عندما تود مساعد شخص ما
ب) عندما تتحدث عن أمر مستحيل
ج) عندما تعبر عن فرحك
د) عندما تتحدث عن طعام",ب
تبه,تبه يعني مصيبة او انا غاضب جدا,Central,"المهمة: حدد الاستخدام الصحيح للكلمة في الجملة.
السؤال: في أي سياق يمكن استخدام كلمة 'تبه' بشكل صحيح؟
الخيارات:
أ) عندما تنجح في مباراة
ب) عندما تشعر بالغضب
ج) عندما تتناول الطعام
د) عندما تذهب للسوق",ب
تحثل,تحثل التراب عليا,Western,"المهمة: اختر الجملة المناسبة التي تحتوي على العبارة 'تحثل'.
السؤال: أي من الجمل التالية يتناسب مع استخدام 'تحثل'؟
الخيارات:
أ) السماء تمطر بغزارة.
ب) الغبار يحجب الرؤية.
ج) بعد المطر، تحثل التراب عليا.
د) الأطفال يلعبون في الساحة.",ج
تدوكر,تدوكر: لايدري ماذا يصنع,Central,"المهمة: اختر الاستخدام المناسب للكلمة 'تدوكر' في السياق.
السؤال: في أي حالة يمكن استخدام كلمة 'تدوكر'؟
الخيارات:
أ) عندما يكون الشخص متردداً
ب) عندما يكون الشخص متحمساً
ج) عندما يكون الشخص شغوفاً
د) عندما يكون الشخص متفائلاً",أ
تراك فاتح دكان,تقال عن رؤية شق في سروال الغير.,General,"المهمة: اختر الجملة التي تستخدم فيها العبارة بشكل صحيح.
السؤال: في أي سياق يمكن استخدام عبارة 'تراك فاتح دكان'؟
الخيارات:
أ) لما يكون فيه حفل
ب) لما تشوف شق في الملابس
ج) لما تحتاج مساعدة
د) لما تتحدث عن المطاعم",ب
تسبدي,تقال للشخص الاخر لوصف اعلى درجات المحبة وتعني : الكبد,Central,"المهمة: اختر الاستخدام السليم للكلمة 'تسبدي'.
السؤال: أي من الجمل التالية تستخدم كلمة 'تسبدي' بشكل صحيح؟
الخيارات:
أ) لا تسبدي علي، فهو لا يستحق.
ب) تسبدي للفراق يجعل القلب حزين.
ج) يا زين تسبدي والله.
د) لا تسبدي لي أمام الجميع.",ج
احلف تستهبل؟,"كلمة تستخدم للتعبير عن الشعور بالدهشة والاستنكار. (درجت بشكل كبير بين فئة الشباب خلال السنوات القليلة الماضية) قد تستخدم أيضا بشكل تهكمي، للتأكيد على ""نقطة واضحة"" يحاول الطرف المقابل الاسترسال بشرحها على الرغم من وضوحها.",General,"المهمة: اختر الجملة التي تم استخدام 'تستهبل؟' فيها بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم 'تستهبل؟' بشكل مناسب؟
الخيارات:
أ) الجو اليوم جميل جداً.
ب) أسعار الأكل زادت مرة، تستهبل؟
ج) أنا أدرس في المكتبة.
د) السيارة تسير بسرعة.",ب
هلا بالطش والرش,عبارة ترحيبية,Central,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام التعبير في سياق مناسب.
السؤال: أي الجمل التالية تستخدم عبارة (هلا بالطش والرش) استخدامًا صحيحًا؟
الخيارات:
أ) دخل الضيوف وقال صاحب البيت: هلا بالطش والرش
ب) كتب في التقرير: هلا بالطش والرش
ج) افتتح الخطاب بـ: هلا بالطش والرش
د) ذُكرت العبارة في البحث العلمي",أ
تسوق امها يافقي,هل تستهبل علي ايه الغبي؟,Western,"المهمة: حدد السياق المناسب لاستخدام العبارة.
السؤال: في أي موقف يمكن استخدام عبارة 'تسوق امها يافقي'؟
الخيارات:
أ) عند المزاح مع صديق
ب) في جلسة رسمية
ج) أثناء الحديث عن الأعمال
د) في محادثة مع العائلة",أ
فيان شتروح,تعني إين ستذهب باللهجه الجيزانية,Southern,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام التعبير في سياق مناسب.
السؤال: أي الجمل التالية تستخدم عبارة (فيان شتروح) استخدامًا صحيحًا؟
الخيارات:
أ) شافه طالع وقال له: فيان شتروح؟
ب) كتب في التقرير: فيان شتروح
ج) استُخدمت في البحث العلمي
د) ذُكرت في الخطاب الرسمي",أ
تكانه,والتكانه هو الشخص الذي يعتمد عليه,Eastern,"### نوع السؤال: الاستخدام السياقي
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية.
السؤال: في أي سياق يصح استخدام عبارة ""تكانه""؟
الخيارات: 
A) ""هذا الشخص تكانه في العمل."" 
B) ""لقد كنت تكانه في القرار."" 
C) ""الجو اليوم تكانه."" 
D) ""هذا الطعام تكانه وعظ.""",A
تكرنت معي,يعني عصبت و اخلاقي قفلت,Western,"المهمة: حدد السياق الصحيح للعبارة.
السؤال: في أي سياق يمكن أن تقول 'تكرنت معي'؟
الخيارات:
أ) عندما تشعر بالسعادة
ب) عندما تغضب
ج) عندما تتواصل مع أصدقاءك
د) عندما تريد الاعتذار",ب
أكل ومرعى وقلة صنعه,وصف حال الكسلان البليد,Western,"المهمة: اختر الجملة التي تستخدم العبارة بشكل صحيح.
السؤال: أي من الجمل التالية يستخدم 'أكل ومرعى وقلة صنعه' بشكل مناسب؟
الخيارات:
أ) هو شخص يعمل بجد ولا يعرف الكسل.
ب) بعد يوم طويل من العمل، قال محمد: 'أكل ومرعى وقلة صنعه' هو حال الكثيرين.
ج) حمد يحب القراءة ولا يهتم بالكسل.
د) لا أحد يحلم بالكسل في الحياة.",ب
هيا طير,اقلب وجهك,Western,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام التعبير في سياق مناسب.
السؤال: أي الجمل التالية تستخدم عبارة (هيا طير) استخدامًا صحيحًا؟
الخيارات:
أ) خلص كلامنا، هيا طير
ب) هيا طير في الاجتماع الرسمي
ج) هيا طير عند كتابة التقرير
د) هيا طير أثناء إلقاء المحاضرة",أ
ياكثر هذرُه,كلامه كثير,Central,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام التعبير في سياق مناسب.
السؤال: أي الجمل التالية تستخدم عبارة (ياكثر هذرُه) استخدامًا صحيحًا؟
الخيارات:
أ) ياكثر هذرُه، ما خلانا نكمل السالفة
ب) ياكثر هذرُه في الخطاب الرسمي
ج) ياكثر هذرُه أثناء كتابة التقرير
د) ياكثر هذرُه في البحث العلمي",أ
تهقى,تظن .,Central,"المهمة: اختر الجملة التي تستخدم فيها كلمة 'تهقى' بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على استخدام صحيح لكلمة 'تهقى'؟
الخيارات:
أ) تهقى أنه اليوم عطلة!
ب) تهقى القمر جميل.
ج) تهقى الشجر ينمو.
د) تهقى الرياح تعصف.",أ
توتو على كبوتو,كل شي بثمنه ( ماديا ),Western,"المهمة: اختر السياق الصحيح الذي يمكن استخدام عبارة 'توتو على كبوتو' فيه.
السؤال: في أي سياق يمكن أن نقول 'توتو على كبوتو'؟
الخيارات:
أ) عند الحديث عن الهدايا
ب) عند مناقشة الأسعار
ج) عند تقييم خدمات مجانية
د) عند تحديد مواعيد العمل",ب
توق غادي,انظر هناك,Western,"المهمة: اختر الجملة التي استخدمت فيها العبارة 'توق غادي' بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على استخدام صحيح لعبارة 'توق غادي'؟
الخيارات:
أ) توق غادي وانت تبحلص في عيونك جاي
ب) توق غادي على الغداء
ج) توق غادي وجيب معاك الشاي
د) توق غادي بعد ما نخلص الدرس",أ
توكل على الله,بعض الاحيان تأتي بمعنى الرفض يعني اذهب وبمعنى طلب الفراق,General,"المهمة: اختر الاستخدام المناسب لعبارة 'توكل على الله'.
السؤال: أي من العبارات التالية تُظهر الاستخدام الصحي الصحيح لعبارة 'توكل على الله'؟
الخيارات:
أ) نحنا متأخرين، لكن توكل على الله نروح.
ب) توكل على الله، كان شغلك سهل.
ج) توكل على الله، كان الوضع صعب.
د) قريت الكتاب وتوكلت على الله.",أ
آزى / آزت,بمعنى كفى وسد الحاجة او كفت,Central,"المهمة: اختر الجملة المناسبة التي تحتوي على الكلمة 'آزى / آزت'.
السؤال: من الجمل التالية، أيها يستخدم كلمة 'آزى / آزت' بشكل صحيح؟
الخيارات:
أ) تعبت من الإنتظار، آزي!
ب) الجو جميل جداً اليوم.
ج) الكتاب في المكتبة.
د) أريد أن أذهب للتسوق.",أ
تيجي معي,اذهب معي,Central,"### نوع السؤال: الاستخدام السياقي
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: في أي سياق تستخدم عبارة ""تيجي معي""؟ 
الخيارات: 
A) عندما يدعو أحدهم صديقه للخروج 
B) عندما يريد شخص البقاء بمفرده 
C) عندما يطلب أحد الطعام 
D) عندما يتحدث شخص عن القراءة",A
جاعص,تعني الشخص الصَّلِف ؛ المتكبر المتعجرف.,Western,"المهمة: اختر الاستخدام الصحيح لكلمة 'جاعص'.
السؤال: في أي سياق يمكن استخدام كلمة 'جاعص' بشكل صحيح?
الخيارات:
أ) عندما نتحدث عن شخص ناجح
ب) عندما نصف شخصاً بالسلبية
ج) عند وصف شخص قوي
د) عند الحديث عن شخص لطيف",ب
جاك العلم,"يتخدم مصطلح "" جاك العلم "" للدلاله على ايصال معلومة ما أو خبر هام واخلاء مسئولية قائلها من اي تبعات اخرى تترتب على عدم اتباع ما ورد في الخبر او المعلومة.",General,"المهمة: اختر الجملة التي تحتوي على استخدام صحيح للعبارة.
السؤال: أي من الجمل التالية يستخدم عبارة 'جاك العلم' بصورة صحيحة؟
الخيارات:
أ) جاك العلم كنت بانتظارك وعلي تجهز للحديقة.
ب) جاك العلم، راح المدرسة بابا.
ج) جاك العلم، لازم تفكر قبل ما تتخذ القرار.
د) جاك العلم، ترى في خبر مهم لازم تعرفه.",د
جبتلي الصمرقع,الصمرقع عبارة عن مرض يصيب الإنسان و تنتج عنه حالة من الجنون. و معنى جبتلّي الصمرقع: قد أصبتني بالجنون.,Southern,"المهمة: اختر الجملة التي تستخدم فيها عبارة 'جبتلي الصمرقع' بشكل صحيح.
السؤال: أي من الجمل التالية تعكس الاستخدام الصحيح لعبارة 'جبتلي الصمرقع'؟
الخيارات:
أ) أنا سعيد جداً لأنك جبتلي الصمرقع.
ب) أعطني فكرة جديدة، جبتلي الصمرقع!
ج) وش فيك يا أبو سعيد، جبتلي الصمرقع؟
د) أريد أن ألعب، جبتلي الصمرقع.",ج
جحفلك جحفله قوية,قلب الطاولة في اللحظات الأخيرة,Western,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام التعبير في سياق مناسب.
السؤال: أي الجمل التالية تستخدم عبارة (جحفلك جحفله قوية) استخدامًا صحيحًا؟
الخيارات:
أ) كان خاسر طول المباراة، وبالأخير جحفله جحفله قوية
ب) جحفله جحفله قوية في الخطاب الرسمي
ج) جحفله جحفله قوية أثناء كتابة البحث
د) جحفله جحفله قوية في الإعلان الحكومي",أ
بدري عليك,"التحدي والاستصغار مثال إذا قال لك شخص: ""بهزمك في اللعبة""، ترد عليه: ""بدري عليك!""",General,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام التعبير في سياق مناسب.
السؤال: أي الجمل التالية تستخدم عبارة (بدري عليك) استخدامًا صحيحًا؟
الخيارات:
أ) بدري عليك، خلينا نبدأ الاجتماع
ب) بدري عليك لو تفكر تتغلب علي باللعبة
ج) بدري عليك في كتابة التقرير
د) بدري عليك أثناء قراءة الكتاب",ب
جد الله عليك,جد الله عليك كثر الله خيرك ع العزمه,General,"المهمة: اختر السياق المناسب لاستخدام عبارة 'جد الله عليك'.
السؤال: في أي موقف يمكن أن تُستخدم العبارة 'جد الله عليك'؟
الخيارات:
أ) عند تلقي مساعدة من صديق
ب) عند التعبير عن الغضب
ج) عند الحديث عن الطقس
د) عند مناقشة الأسعار",أ
جدة كذا إتي وبحر,عبارة تطلق لكبير جدة الإتحاد . (إتي) إختصار لكلمة الإتحاد,Western,"المهمة: حدد كيفية استخدام العبارة في سياق محادثة.
السؤال: كيف يمكن استخدامها في محادثة بين شخصين حول الرياضة؟
الخيارات:
أ) 'جدة إتي وبحر' تعني أن جدة تتفوق في كل شيء.
ب) 'جدة إتي وبحر' تدل على التعصب الرياضي.
ج) 'جدة إتي وبحر' تعني أن جدة تمتلك تاريخاً رياضياً غنياً.
د) 'جدة إتي وبحر' تشير إلى أحداث بحرية.",ج
جدة كذا اهلي وبحر .,جدة كذا اهلي وبحر معناها ان نادي الحجاز هو الاهلي,Western,"المهمة: اختر السياق الأنسب لاستخدام العبارة.
السؤال: في أي سياق يمكن أن نقول 'جدة كذا اهلي وبحر'؟
الخيارات:
أ) عند الحديث عن المهرجانات الثقافية.
ب) عند مناقشة كرة القدم والرياضة.
ج) عند وصف الأماكن السياحية.
د) عند التحدث عن الطعام.",ب
جعلك السلطة,تعني بأن يبتليك الله بمصيبة، تشغلك عن أذيتي,Northern,"المهمة: اختر الاستخدام الصحيح للعبارة 'جعلك السلطة'.
السؤال: في أي موقف يمكن استخدامها؟
الخيارات:
أ) عند التعبير عن الفرح
ب) عند الشكوى من مصيبة
ج) عند مدح شخص
د) عند الالتقاء بأصدقاء",ب
جعلنا ما نطرك,دعاء ان لا يصل بنا الحال الى ان نطرّك (نتشحذ منك). تقال لمن تطلب منه شي ويقدم لك القليل رغم قدرته على ان يعطيك اكثر. مثال: طلبت من ابنك يأتي لك بكأس ماء، الابن عبأ ربع الكأس بالماء فقط هنا تقول له جعلنا ما نطرك يا ولدي ليش ما عبيت الكأس كامل,Eastern,"المهمة: حدد الاستخدام المناسب للعبارة 'جعلنا ما نطرك'.
السؤال: في أي مناسبة يمكن استخدام عبارة 'جعلنا ما نطرك'؟
الخيارات:
أ) عند طلب الماء من أحد الأصدقاء ولكنه لا يوفر
ب) عند كارثة طبيعية تحل بالمنطقة
ج) في حفلة زفاف
د) عند استلام هدية قيمة",أ
جيف الباب,كلمة حجازية وتعني أجعل الباب قريب الإغلاق لكن لا تغلقه تماما أترك مسافة بسيطة,Western,"المهمة: اختر الجملة التي تستخدم فيها 'جيف الباب' بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على استخدام صحيح لكلمة 'جيف الباب'؟
الخيارات:
أ) جيف الباب ولا تسكره
ب) جيف السيارة على الجسر
ج) جيف الماء في الزجاجة
د) جيف المطبخ والانطلق",أ
محزم المليان,و هو الشخص الذي تحتزمون به او صديقكم الذي يكون معكم في المصاعب حازم محزم احتزم محزمي الخ,Southern,"المهمة: اختر السياق الذي يناسب 'محزم المليان'.
السؤال: في أي جملة تم استخدام 'محزم المليان بشكل صحيح؟
الخيارات:
أ) حصل على علامة سيئة في المدرسة.
ب) كان صديقي حازمًا في مساعدتي عند الحاجة.
ج) قرر الخروج للعب.
د) رفض تناول الطعام.",ب
حام التسبد,حام التسبد: تعني اقرف أو ازعج، أو ضجر أو سئم! ملاحظة: التسبد تعني الكبد. فأهل نجد ينطقون الكاف ب(تس). الكبد = التسبد,Central,"المهمة: اختر الجملة الصحيحة التي تحتوي على 'حام التسبد'.
السؤال: أي من الجمل التالية يستخدم فيها المصطلح 'حام التسبد' بشكل صحيح؟
الخيارات:
أ) حام التسبد، وأنا أستمتع بالوقت.
ب) يوم أمس حام تسبدي في العمل.
ج) حام التسبد وذهبت إلى السوق.
د) حام التسبد، وأنا في المنزل.
الإجابة الصحيحة:",
حامت كبدي,"وهي عبارة يقصد فيها التعبير عن الشعور بالضيق من أمر ما أو كلام ما، وقد تعني التقزز. هي مشهورة في نجد في السعودية، وأيضا معروفة ب ""حامت تسبدي"" هناك صيغ أخرى لهذه العبارة: حامت كبدي / حامت تسبدي يحوم الكبد / يحوم التسبد",Central,"المهمة: تحديد السياق المناسب لاستخدام 'حامت كبدي'.
السؤال: في أي موقف يمكن أن نستخدم عبارة 'حامت كبدي'؟
الخيارات:
أ) عند تلقي خبر سار
ب) عند مناقشة موضوع مزعج
ج) عند إقامة حفلة
د) عند السفر",ب
فرقاك عيد,تعني الذي وجوده مصدر إزعاج أو ضيق ، وأن غيابه أو رحيله (فراقه) هو بمثابة مناسبة سعيدة أو يوم عيد,General,"المهمة: اختر الخيار الذي يمثل الاستخدام الصحيح للعبارة.
السؤال: متى يكون من المناسب أن تقول ""فرقاك عيد""؟
الخيارات:
أ) عندما يغيب شخص مزعج وتشعر بالراحة
ب) عندما يعود صديق قديم
ج) عند تهنئة شخص بالزواج
د) أثناء لقاء عائلي",أ
حتى الميت فسى,تُقال عند تمثيل برجل انه بارد .,Western,"المهمة: اختر السياق الأنسب لاستخدام العبارة.
السؤال: في أي موقف تُستخدم عبارة 'حتى الميت فسى'؟
الخيارات:
أ) عندما يتحدث الناس عن شخص مسلٍ.
ب) عند وصف شخص بارد في تصرفاته.
ج) عند الحديث عن مكان جميل.
د) عند تقديم الطعام.",ب
ضف وجهك,يعني . ابتعد عني . اغرب عن وجهي .,General,"المهمة: اختر السياق المناسب لاستخدام التعبير 'ضف وجهك'.
السؤال: في أي موقف يُفضل استخدام تعبير 'ضف وجهك'؟
الخيارات:
أ) عندما أكون سعيداً
ب) عندما أكون غاضباً
ج) عندما أريد أن أكون صديقاً
د) عندما أشاهد التلفاز",ب
حج البقرة على قرونها,من باب تعليق الأمر بالمحال : - حتى / لمّا تحج البقرة على قرونها - لو / إذا حجت البقرة على قرونها يُنظر في كي ينوّر الملح.,General,"### نوع السؤال: الاستخدام السياقي
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: في أي سياق يمكن استخدام عبارة ""حج البقرة على قرونها""؟ 
الخيارات: 
A) عندما يتحدث الناس عن حيوانات المزرعة. 
B) عند المناقشة حول شيء قد يحدث في المستقبل. 
C) في وصف أجواء الاحتفالات. 
D) عند تفسير الأمور العلمية.",B
رح اديلو,سوف اعطيه,Western,"المهمة: تحديد الاستخدام الصحيح للعبارة في سياق معين.
السؤال: في أي جملة يتم استخدام عبارة 'رح اديلو' بشكل صحيح؟
الخيارات:
أ) رح اديلو أبوي الخبز.
ب) أنا أحب اللعب.
ج) رح اديلو الواد دا الكتاب.
د) أحتاج لمساعدة.",ج
حُق حُق,تستخدم إذا أردت أن تستعير شيئا من أحد وأجابك ب: لا، حقي!,Western,"المهمة: اختر الحالة المناسبة لاستخدام عبارة 'حق حق'.
السؤال: في أي موقف يمكن أن نستخدم عبارة 'حق حق'؟
الخيارات:
أ) عندما تطلب المساعدة
ب) عندما تطلب استعارة شيء
ج) عند تقديم الطعام
د) عند إجراء محادثة عادية",ب
حُق صلصة,تدل على المكان الضيق جدا,Western,"المهمة: اختر الاستخدام السياقي المناسب لعبارة 'حُق صلصة'.
السؤال: في أي سياق يمكن استخدام عبارة 'حُق صلصة'؟
الخيارات:
أ) عند الإشارة لمكان مغلق
ب) عند وصف مكان كبير
ج) عند الحديث عن الطعام
د) عند وصف الطبيعة",أ
حمار خالو,عندما يكون الشخص يتحرش بشخص قوي لايستطيع أن يجابهه فيتكلم معه باستفزاز حتى يتنرفز,Western,"المهمة: وضح كيف يمكن استخدام عبارة 'حمار خالو' في جملة.
السؤال: أي الجمل التالية تستخدم عبارة 'حمار خالو' بشكل صحيح؟
الخيارات:
أ) زاد الجوع عنده وحسب أنه حمار خالو.
ب) الولد في حفلة فرح يرقص مثل حمار خالو.
ج) الواد داا يدور على حمار خالوو.
د) تحسب الجو جميل مع حمار خالو.",ج
حياك الله,عبارة ترحيب,General,"المهمة: اختيار الاستخدام الصحيح للعبارة.
السؤال: في أي موقف يمكن استخدام 'حياك الله'؟
الخيارات:
أ) عند اللقاء بأصدقاء
ب) عند الحاجة لمساعدة
ج) عند وداع شخص
د) عند شراء الطعام",أ
حيلهم بينهم,"حِيلهم بِينهم ، عبارة تعني ان مشاكلهم بينهم نظراً لتشاركهم في قوة مشتركة ""حيل"" فتكبّدها سيكون بينهم ايضاً",General,"المهمة: اختر الموقف المناسب لاستخدام العبارة 'حيلهم بينهم'.
السؤال: في أي سياق يمكن أن تستخدم عبارة 'حيلهم بينهم'؟
الخيارات:
أ) عند الحديث عن عائلة تتشارك في نفس المشاكل
ب) عند تكلم شخص عن إنجازاته الشخصية
ج) عند مناقشة لعبة رياضية
د) عند الانتقال إلى مدينة جديدة",أ
خاربة خاربة,تقال وقت المأساة وعدم المبالاة وتعني إذا الموضوع فقد الأمل منه إذاً ليس علي أن اهتم أو أعمل شيء لأن الموضوع سوف يكون معدوم بوجود أو بعدم وجود مجهودي.,General,"المهمة: اختر الاستخدام الصحيح للعبارة 'خاربة خاربة' في المحادثة.
السؤال: أي من الجمل التالية تستخدم العبارة 'خاربة خاربة' بشكل صحيح؟
الخيارات:
أ) أنا متحمس للاختبار، أدرس جيدًا.
ب) الموضوع صعب جدًا، خاربة خاربة.
ج) الجو جميل اليوم.
د) سأنجح في الامتحان.",ب
خاز باز,الخاز باز هذا غير المعروف في الفصحي.هذا في العاميه يعني ((الاشكالات السرية بين شخصين لا يستطيعان الكشف عنها للاخرين )) هذا تقريبي ومختصر والله اعلم,Western,"المهمة: اختر الاستخدام الصحيح لعبارة 'خاز باز' في سياق صحيح.
السؤال: أي من الجمل التالية تستخدم 'خاز باز' بشكل صحيح؟
الخيارات:
أ) تعال نتحدث عن خاز بازنا.
ب) التقارير تُكتب عن خاز باز.
ج) كعكة الشوكولاتة تُعتبر خاز باز.
د) أقرأ كتاب عن الخاز باز.",أ
خِبْت عليك,تقال عند الاصابة بالإحباط عند عدم تحقيق هدف معيّن أو الخطأ في عمل أمر سهل.,Western,"المهمة: اختر السياق الأنسب لاستخدام عبارة 'خِبْت عليك'.
السؤال: في أي موقف قد نستخدم العبارة 'خِبْت عليك'؟
الخيارات:
أ) عند الحصول على درجات عالية
ب) عند فقدان شيء مهم
ج) عند تحقيق النجاح في العمل
د) عند الاحتفال بعيد الميلاد",ب
خراط مشمش,الكاذب,Central,"المهمة: اختر الجملة التي تحتوي على الاستخدام الصحيح لعبارة 'خراط مشمش'.
السؤال: أي من الجمل التالية تستخدم عبارة 'خراط مشمش' بشكل صحيح؟
الخيارات:
أ) علي خراط مشمش وهو معروف بصدقه.
ب) فاطمة قالت إن محمد خراط مشمش.
ج) أرى أن هذا الأمر يحتاج لخراط مشمش.
د) الجو اليوم خراط مشمش.",ب
ريحه عطبة,هي مفردة حساويه وتعني ربحه النايلون عندما يحترق مثل اسلاك كهربائية,Eastern,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام التعبير في سياق مناسب.
السؤال: أي الجمل التالية تستخدم عبارة (ريحة عطبة) استخدامًا صحيحًا؟
الخيارات:
أ) شميت ريحة عطبة، يمكن في سلك محروق
ب) ريحة عطبة في التقرير النهائي
ج) ريحة عطبة أثناء كتابة البحث
د) ريحة عطبة في الخطاب الرسمي",أ
خِرِّي مِرِّي,بمعنى ذاهب وعائد وتطلق على من كثرت تحركاته وانتقالاته.,Western,"المهمة: حدد الاستخدام الصحيح للعبارة في سياق جملة.
السؤال: أي من الجمل التالية تستخدم عبارة 'خِرِّي مِرِّي' بشكل صحيح؟
الخيارات:
أ) أحتاج إلى خِرِّي مِرِّي في السوبرماركت.
ب) خِرِّي مِرِّي كل وقت على الشخصيات.
ج) نحتاج إلى الخِرِّي مِرِّي للسفر.
د) أنت كل شوية خري مري على السوق.",د
زكن عليه,اكدعليه,Central,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام التعبير في سياق مناسب.
السؤال: أي الجمل التالية تستخدم عبارة (زكن عليه) استخدامًا صحيحًا؟
الخيارات:
أ) زكن عليه يخلص الشغل اليوم
ب) زكن عليه في التقرير الرسمي
ج) زكن عليه أثناء البحث العلمي
د) زكن عليه في الخطاب المكتوب",أ
طول حسي,طول صوتي فلان تهاوش طول حسه طول صوته,Northern,"المهمة: اختر الجملة التي تتماشى مع المعنى.
السؤال: أي من الجمل التالية تعبر عن مفهوم العبارة 'خليك انت المأذون اللى عم جدوروا عليه'؟
الخيارات:
أ) أريد أن أكون الشخص الذي يعتمد عليه الآخرون
ب) اذهب بعيداً عن الناس
ج) لا تبحث عن المأذون
د) كن غير مستقر",أ
خندريس,تقال للشخص الخبيث,Central,"المهمة: اختر الجملة التي تستخدم كلمة 'خندريس' بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على استخدام صحيح لكلمة 'خندريس'؟
الخيارات:
أ) عبدالله هو خندريس لأنه ينقلب على أصدقائه.
ب) فهد خندريس بما أنه يساعد الآخرين دائمًا.
ج) سارة خندريس لأنها تحب الرياضة.
د) زينب تقول كل شيء عن خندريس.",أ
خيطي بيطي,الشيء الذي لا معنى له يقال له خيطي بيطي,Western,"المهمة: اختر الجملة التي تعبر عن الاستخدام الصحيح لعبارة 'خيطي بيطي'.
السؤال: أي من الجمل التالية تستخدم عبارة 'خيطي بيطي' بشكل صحيح؟
الخيارات:
أ) كتابك خيطي بيطي، لكنني أحب القراءة.
ب) أريد طلب الطعام، هل لديك رقم المطعم؟
ج) إن شغلك خيطي بيطي ولا يليق بك.
د) الجو جميل اليوم.",ج
اشرب بشويش,اشرب ببطئ,Southern,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام التعبير في سياق مناسب.
السؤال: أي الجمل التالية تستخدم عبارة (اشرب بشويش) استخدامًا صحيحًا؟
الخيارات:
أ) اشرب بشويش، العصير بارد
ب) اشرب بشويش في التقرير
ج) اشرب بشويش أثناء كتابة البحث
د) اشرب بشويش في الخطاب الرسمي",أ
قلبت كبدي, أضجرتني ورفعت ضغطي,Southern,"المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: أي من الجمل التالية تستخدم عبارة ""قلبت كبدي"" بشكل طبيعي؟ 
الخيارات: 
A) ""لما سمعت صوت السيارة، قلبت كبدي."" 
B) ""عزيمتك كأسرة ممتعة، قلبت كبدي."" 
C) ""بعد ما شفت المسلسل، قلبت كبدي."" 
D) ""زملائي في العمل دائماً يسألونني، وهذا دقلبت كبدي.""",C
دبو جف نحرك,يعني الجن يدخلون في حلقك,Southern,"### نوع السؤال: الاستخدام السياقي
- المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية.
- السؤال: أي الجمل التالية تستخدم فيها عبارة ""دبو جف نحرك"" بشكل طبيعي؟ 
- الخيارات: 
 A) الرياض في الليل جميلة. 
 B) محمد: أريد أن أذهب للسوق. محمد: دخلو جف نحرك. 
 C) السماء صافية اليوم. 
 D) الطقس بارد في الشتاء. 
-",B
دجاجةٍ صقعه,اختلف في اصل الكلمة لكن تتداول بين أهل نجد للإشارة إلى غباء أحدهم.,Central,"المهمة: اختر الاستخدام الصحيح للمصطلح في السياق.
السؤال: في أي جملة تُستخدم 'دجاجةٍ صقعه' بشكل صحيح؟
الخيارات:
أ) أريد أن أكون مثل دجاجةٍ صقعه.
ب) هو دجاجةٍ صقعه في دراسته.
ج) عصفور الطيور دجاجةٍ صقعه.
د) أنا دجاجةٍ صقعه في الطبخ.",ب
أقلزز,ويعني انا افهم,Central,"المهمة: اختر الجمل التي تستخدم فيها كلمة 'أقلزز' بشكل صحيح.
السؤال: في أي من الجمل التالية تم استخدام 'أقلزز' بشكل مناسب؟
الخيارات:
أ) كنت أتعلم الرياضيات، وأنا أقلزز.
ب) أحب الطقس اليوم، أنا أقلزز.
ج) في الصف، قال المعلم: من يفهم؟ فرددت، أقدر أقلزز.
د) أريد السفر، لذلك لا أقلزز.",ج
عاش من شافك,يعيش من رآك,Central,"المهمة: اختر الاستخدام الصحيح للجملة بناءً على السياق:
السؤال: إذا رأيت شخصًا عزيزًا عليك، ماذا يمكن أن تقول له؟
الخيارات:
أ) كيف حالك؟
ب) عاش من شافك
ج) أين كنت؟
د) ماذا تفعل؟",ب
